Eagle CD 90112

01. Clyde Stacy -  Good Rockin\' Tonite
02. Clyde Stacy -  Hoy Hoy
03. Clyde Stacy -  Summertime Blues
04. Clyde Stacy -  Lonely Guy
05. Clyde Stacy -  I\'ll Try
06. Clyde Stacy -  So Young
07. Clyde Stacy -  Be My Love
08. Clyde Stacy -  Nobody\'s Darlin\'
09. Clyde Stacy -  Return To Me
10. Clyde Stacy -  Dream Boy
11. Clyde Stacy -  You\'re Satisfied
12. Clyde Stacy -  Well I Love You
13. Clyde Stacy -  Scotch On The Rocks (instr.)
14. Clyde Stacy -  Honky Tonk Hardwood Floor
15. Clyde Stacy -  I Sure Do Love You Baby
16. Clyde Stacy -  Live And Learn
17. Clyde Stacy -  Baby Shame
18. Clyde Stacy -  You Want Love
19. Clyde Stacy -  Sittin\' Down Cryin\'
20. Clyde Stacy -  Just Your Love
21. Clyde Stacy -  Tranquilizer Cins (instr.)
22. Clyde Stacy -  A Broken Heart
23. Clyde Stacy -  End Up With The Blues
24. Clyde Stacy -  Forget Me
