
Country-Pop mp3@256kbps


CD1 01 I'm Sorry.mp3                                                4.94MB
CD1 02 Jambalaya (On The Bayou).mp3                                 3.96MB
CD1 03 Sweet Nothin's.mp3                                           4.43MB
CD1 04 Coming On Strong.mp3                                         3.80MB
CD1 05 Strangers In The Night.mp3                                   4.62MB
CD1 06 You Can Depend On Me.mp3                                     6.53MB
CD1 07 Too Many Rivers.mp3                                          5.22MB
CD1 08 All Alone Am I.mp3                                           5.00MB
CD1 09 Break It To Me Gently.mp3                                    4.87MB
CD1 10 Bill Bailey, Won't You Please.mp3                            4.40MB
CD1 11 Dynamite.mp3                                                 3.81MB
CD1 12 Fool #1.mp3                                                  4.49MB

