ARTIST..[ va
TITLE...[ de apr̩s skihut 24
GENRE...[ top 40
SOURCE..[ cdda
ENCODER.[ LAME 3.97 (VBR -V2 --vbr-new)
TRACKS..[ 01
LENGTH..[ 69:15 min
SIZE....[ 100,2 MB
QUALITY.[ VBRkbps / 44,1kHz / joint-stereo
DATE....[ aug-18-2010

NOTES


TRACKLIST
NR. TRACKNAME                                             TIME
    va - de apr̩s skihut 24

01  vlemmix & roos - een bussie vol met polen
02  dj cor - hee hoo
03  ali b feat. yes-r, gio & darryl - groupie love
04  dj jean - the launch relaunched (steff da campo mix)
05  r.i.o. - de janeiro (radio edit)
06  happy hour crew - goeie moggel!! (feest versie)
07  gebroeders ko - duiken in de zee
08  lawine boys (m.m.v.) mooi wark feat. dj roy - in de b
09  rob ronalds - och was ik maar
10  bob sinclar & steve edwards - together (radio edit)
11  ian carey feat. michelle shellers - keep on rising (r
12  partyjocks - clap your hands (radio edit)
13  het feestteam - de olifant
14  dirk meeldijk - ik hou van het leven
15  johnny van veldhoven - wat een prachtige dag
16  ren̩ schuurmans - handen in de lucht
17  sidney samson and skitzofrenix feat. lady bee & knowl
18  dj glenn b - carnival de brazil (radio edit)
19  aka the junkies - konijntje (radio versie)
20  maarten - een beetje van dit
21  gerald - echte ware liefde
22  dj stayfan - in de kroeg
23  santa rosa (m.m.v.) hanny - leve in de brouwerij
24  tino - daar sta je dan
25  freemasons feat. bailey tzuke - uninvited (radio edit
26  booty luv - some kinda rush (radio edit)
27  boris goodunov - propaganda nazdrowje (dj kicken remi
28  quincy - slapeloze nachten
29  dikdakkers - de eskimo dans
30  double dj's - zwaai eens even naar mijn vogeltje
31  tatjana - ik laat je gaan
32  dj serv̩ feat. starkoo - 't regent zonnestralen
33  dirty south feat. rudy - let it go (radio edit)
34  dada life - fun fun fun (radio edit)
35  ron carroll - walking down the street (bmc radio mix)
36  maarten feat. 101 tv - schat staat het bier al koud?
37  de deurzakkers - houdoe!
38  snuffel - het knuffel lied (original mix)
39  alex c. & yass - du hast den sch̦nsten arsch der welt
40  september - cry for you
41  gerard joling - shangri-las
42  arjon - het is over, het is voorbij
43  bounce brothers - bes tebja (radio edit)
44  maximus vs. bank feat. kyrsha - knockin' 2008
45  joyz - bubbly (radio edit)
46  manke nelis - rond van borst (uit rond van borst medl
47  klaas veen - daar heb je vrienden voor
48  max muiderman - d'r uit is d'r uit



                                               TOTAL[ 69:15 min
                                               SIZE.[ 100,2 mb
