Top 40 week 28 2010 door TorrentNL			
			
DW	VW	AW	Artiest en titel
1	1	5	Yolanda be cool vs. Dcup- We no speak americano
2	3	7	Katy Perry ft. Snoop Dogg- California gurls
3	4	6	K'naan- Wavin' flag
4	2	11	Stromae- Alors on danse
5	5	8	Lady GaGa- Alejandro
6	6	7	Shakira ft. Freshlyground- Waka waka (this time for Africa)
7	7	7	Sia- Clap your hands
8	11	9	Lady Antebellum- Need you now
9	17	3	B.O.B ft. Havley Williams- Airplanes
10	9	20	John Mayer- Heartbreak warfare
11	8	7	Marco Borsato& Guus Meeuwis- Schouder aan schouder
12	16	6	Esm̩e Denters ft. Justin Timberlake- Love dealer
13	18	5	Enrique Iglesias ft. Pitbull- I like it
14	10	22	Train- Hey, soul sister
15	19	4	John Mayer& Taylor Swift- Half of my heart
16	12	12	Taio Cruz- Break your heart
17	0	1	Eminem& Rihanna- Love the way you lie
18	23	3	Inna- Amazing
19	33	2	Tim Berg- Bromance
20	28	4	Ginger Ninja- Sunshine
21	24	2	Vengaboys& Perez Hilton- Rocket to Uranus
22	37	2	Travie Mccoy ft. Bruno Mars- Billionaire
23	14	11	Scouting for girls- This ain't a love song
24	15	11	Kelis- Acapella
25	29	2	Di-rect- Hold on
26	22	6	Caro Emerald- That man
27	13	22	David Guetta ft. Kid Cudi- Memories
28	31	3	Wolter Kroes- Viva Hollandia WK 2010
29	26	6	Jaap- Don't stop believin'
30	21	4	David Guetta& Chris Willis ft. Fergie& Imfao- Gettin' over you
31	35	3	Cascada- Pyromania
32	0	1	Rihanna- Te amo
33	25	6	Cheryl Cole ft. Will.i.am- 3 Words
34	39	2	Jan Smit- Terug in de tijd
35	0	1	A silent express- Will I be around
36	32	5	Lena- Satellite
37	27	17	B.O.B ft. Bruno Mars- Nothin' on you
38	20	12	Keane and K'naan- Stop for a minute
39	0	1	Miss Montreal- Swing the night away
40	34	3	Dance Nation- Great divide
