01 -On Fire                                   [03:23]
  02 -Ask Me if I Give A Fuck                   [02:48]
  03 -Throw it Up Part 2                        [03:13]
  04 -Georgia                                   [03:36]
  05 -Kush is My Cologne                        [05:03]
  06 -Blinded                                   [01:13]
  07 -Partna Dem Freestyle                      [03:24]
  08 -Accent                                    [02:51]
  09 -On My Dick Remix                          [04:10]
  10 -H2O                                       [03:08]
  11 -Stupid Wild                               [03:33]
  12 -Break Ya Self                             [04:07]
  13 -Young Boy Talk                            [02:39]
  14 -Fresh Freestyle                           [02:13]
  15 -Real as They Come                         [03:45]
  16 -Niggaz Owe Me Some Money                  [03:05]
  17 -Easy                                      [03:52]
  18 -Forever (Nappy Boy Remix)                 [04:39]
  19 -Women Lie, Men Lie                        [03:13]
  20 -Hell Breaks Loose                         [03:20]
  21 -Money Gettin Taller                       [03:37]
  22 -Stone Cold                                [01:55]
  23 -Showin Out                                [02:19]
  24 -Danger's Not A Stranger (Diplo Remix)     [03:45]



                                           Time:[78:51]min
                                           Size:[108,6]MB
