User Type,Username,Date,Text
,weaselwood1,2010-02-22T02:18Z,thanks.
,Spok509,2010-02-23T05:37Z,"Best movie ever, its amazing!"
,Andromeda5656,2010-04-09T05:42Z,Thanks for this movie !
,TenaciousRG,2010-09-01T07:22Z,"Great movie, anyone know where I can find a torrent for the OST? Thanks."
,yo9mama6,2010-11-01T18:52Z,Thnx! blaxploitation I love!
,allredee,2010-12-13T08:00Z,Great quality!! Thanx man
,himanshu_prabahakar,2010-12-23T17:06Z,thnx 4 upload bro
,itsAerosol,2011-02-13T18:06Z,"thanks for the upload!

good quality. nothing wrong with the file.

A: 8/10
V: 8/10"
,watbol,2011-02-20T20:31Z,"Very Good, Nice 16:10 Full-WideScreen movie.
Keep up the Good Werk¡!
------------------------------
¿¿¿:·}~ «-{Watbol}-»  * * *
(¥¿¥)"
,TheGreatGig,2011-03-11T23:36Z,Cheers man :)
,Ginlyf,2011-04-30T12:46Z,Thanks! :D
,69fredu69,2011-05-17T14:19Z,"Fast download, thanks."
,cheshirecat24,2011-06-21T23:32Z,thanks
