---> This is my first torrent so I'm learning... I am trying to seed but I haven't gotten it to work yet. I'll keep working on it so check back soon.




Wind Soundtrack 1993 (272.3 MB, Apple Lossless Format, Bit Rate 44100)

Please enjoy. This was a very limited release CD - only 1500 copies made. I paid over $40 for mine, but couldn't find it any other way.


Name			Artist			Album	Genre		Size		Time	Track Number

Sail Locker		Basil Poledouris	Wind	Soundtrack	3367230		61	1							
Winning			Basil Poledouris	Wind	Soundtrack	19171438	182	2							
Windward Work		Basil Poledouris	Wind	Soundtrack	26088137	216	3								
Downwind		Basil Poledouris	Wind	Soundtrack	33092495	324	4								
The Break-Up		Basil Poledouris	Wind	Soundtrack	16282418	198	5								
To Australia		Basil Poledouris	Wind	Soundtrack	12839093	147	6								
The Dinghy Race		Basil Poledouris	Wind	Soundtrack	21536592	193	7								
Windshadow		Basil Poledouris	Wind	Soundtrack	5686925		72	8							
The Petroglyph		Basil Poledouris	Wind	Soundtrack	6077627		84	9								
The Bike Ride		Basil Poledouris	Wind	Soundtrack	11998225	150	10								
Dead Air		Basil Poledouris	Wind	Soundtrack	26570789	282	11								
Love In The Sewers	Basil Poledouris	Wind	Soundtrack	9120169		105	12								
The Contest		Basil Poledouris	Wind	Soundtrack	18911155	192	13								
The Glider		Basil Poledouris	Wind	Soundtrack	8151385		91	14								
Wind Song		Basil Poledouris	Wind	Soundtrack	18212586	208	15								
Whomper Trials		Basil Poledouris	Wind	Soundtrack	7534027		78	16							
Defeat			Basil Poledouris	Wind	Soundtrack	32884316	316	17							
Irolita			Basil Poledouris	Wind	Soundtrack	7954945		91	18
