User Type,Username,Date,Text
,earthshine,2009-07-16T23:39Z,"russian schoolgirl...what a load of bollocks!!
its usa girl cristina agave"
,moobaway,2009-07-17T05:52Z,"russian schoolgirl...what a load of shit!!

And shithole blocked too !!  hehe ~"
,tramwal,2009-07-17T15:56Z,"Source:  IAFD  Christine Agave--80 adult videos

Performer AKA  	Christine, Cristina, Jennifer Spluey, Jennifer Love Spluey, Christina Agave
Birthday	October 30, 1985
Astrology	Scorpio 
Birthplace	Los Angeles, CA 
Years Active	2004-2008 (Started around 19 years old)
Ethnicity	Caucasian
Nationality/Heritage	American
Hair Color	Brown
Measurements	34A-28-36
Height	5 feet, 2 inches (157 cm)
Weight	114 lbs (52 kg)
Tattoos	""Baby Wicked"" on back"
