SEEDUJCIE LUDZIE

Total tracks number: 51
Total tracks length: 03:10:14
Total tracks size: 252 491 842
Title 	Track 	Album 	Year 	Time 	Size 	Bitrate
CieÅ„ Moich Åez 	01 	bÄ™dÄ™ silna 		04:44 	4546541 	128
Drogi kolego 	02 	bÄ™dÄ™ silna 		03:29 	3352431 	128
BÄ™dÄ™ Silna 	03 	bÄ™dÄ™ silna 		03:40 	3527556 	128
Eliksir Å»ycia 	04 	bÄ™dÄ™ silna 		03:39 	3506658 	128
OpÄ™tanie 	05 	bÄ™dÄ™ silna 		03:35 	3445636 	128
Pacierz 	06 	bÄ™dÄ™ silna 		04:40 	4490534 	128
List do T. 	07 	bÄ™dÄ™ silna 		03:41 	3543857 	128
Cios 	08 	bÄ™dÄ™ silna 		03:00 	2887243 	128
Malowane dni 	09 	bÄ™dÄ™ silna 		04:24 	4230564 	128
BudzÄ™ CaÅ‚y ï¿½iat 	10 	bÄ™dÄ™ silna 		03:11 	3067801 	128
Czegoï¿½Tu Brak 	11 	bÄ™dÄ™ silna 		04:30 	4324186 	128
DojdÄ™ Tam 	12 	bÄ™dÄ™ silna 		03:59 	3827233 	128
Musisz byÄ‡ pierwszy 	13 	bÄ™dÄ™ silna 		04:19 	4145300 	128
Daj znak 	03 	MÃ³j czas 		03:10 	4584689 	192
Fotografie 	04 	MÃ³j czas 		03:38 	5246873 	192
Jeszcze mocniej 	05 	MÃ³j czas 		03:08 	4520883 	192
Jeszcze raz... 	07 	MÃ³j czas 		03:16 	5359158 	218
Kameleon 	01 	MÃ³j czas 		03:47 	3648107 	128
Moje miejsce 	10 	MÃ³j czas 		03:41 	5325731 	192
Nie mam 	12 	MÃ³j czas 		03:12 	4627321 	192
O niej 	09 	MÃ³j czas 		03:37 	5246976 	193
Uwierz 	06 	MÃ³j czas 		03:39 	5265174 	192
W PÃ³Å‚ï¿½ie 	11 	MÃ³j czas 		04:07 	5945095 	192
Z Twoich RÅ¡k 	02 	MÃ³j czas 		04:01 	3863240 	128
Zapach mÄ™Å¼czyzny 	08 	MÃ³j czas 		03:50 	5539517 	192
Coï¿½wiÄ™cej 	12 	Nie zatrzyma nikt 		03:17 	5246233 	212
Gdy zgasnÅ¡ ï¿½iatÅ‚a 	03 	Nie zatrzyma nikt 		03:40 	8810746 	320
GoniÅ¡c Ciebie 	10 	Nie zatrzyma nikt 		03:52 	3260910 	112
Ja i wiatr 	05 	Nie zatrzyma nikt 		03:44 	6228189 	222
Kilka pytaÅ„ 	11 	Nie zatrzyma nikt 		03:44 	5617301 	200
PoÅ¼egnanie 	01 	Nie zatrzyma nikt 		04:16 	4111294 	128
Tak o mnie walcz 	08 	Nie zatrzyma nikt 		03:27 	6001280 	231
W jej dÅ‚oniach 	07 	Nie zatrzyma nikt 		03:28 	5010037 	192
ZwykÅ‚a historia 	09 	Nie zatrzyma nikt 		04:16 	6794591 	212
ï¿½Ã³dÅ‚o 	06 	Nie zatrzyma nikt 		03:48 	5954237 	208
4 ï¿½iany 	02 	Nie zatrzyma nikt 		03:29 	3361272 	128
Nie zatrzyma nikt 	04 	Nie zatrzyma nikt 		04:00 	6630603 	220
Swiat Sie Pomylil 	01 	Swiat Sie Pomylil 	2007 	03:30 	5158991 	196
Zacmienie Serca 	02 	Swiat Sie Pomylil 	2007 	03:40 	5640192 	205
Bla Bla 	03 	Swiat Sie Pomylil 	2007 	03:31 	5869568 	222
Kilka Prostych Prawd 	04 	Swiat Sie Pomylil 	2007 	03:11 	4565195 	191
Ogien 	05 	Swiat Sie Pomylil 	2007 	03:59 	6191104 	207
Jeszcze Raz 	06 	Swiat Sie Pomylil 	2007 	03:16 	5359852 	218
Jeden Gest 	07 	Swiat Sie Pomylil 	2007 	03:27 	5580800 	215
PÃ³ki Wiruje Noc 	08 	Swiat Sie Pomylil 	2007 	03:30 	5629952 	214
Na Obrazach Zwyklych SlÃ³w (Dla Synka) 	09 	Swiat Sie Pomylil 	2007 	03:07 	4155392 	177
Zapach Lata 	10 	Swiat Sie Pomylil 	2007 	03:37 	5394432 	198
Mamo 	11 	Swiat Sie Pomylil 	2007 	03:44 	5374269 	191
Bezsennosc, Blues I Ja 	12 	Swiat Sie Pomylil 	2007 	05:26 	7260160 	178
Nie Pomyl Sie 	13 	Swiat Sie Pomylil 	2007 	03:53 	6074410 	208
swiat sie pomylil (radio edt) 	14 	Swiat Sie Pomylil 	2007 	03:25 	5142528 	200
Title 	Track 	Album 	Year 	Time 	Size 	Bitrate
 List generated with TagScanner 4.7 build 471

