01.Intro                                                     [01:57]
   02.Blow Your Mind Away                                       [04:17]
   03.How Many Times                                            [04:16]
   04.Think Its About Time                                      [05:39]
   05.Between Me and U                                          [04:32]
   06.Break U Off                                               [04:21]
   07.So in Love                                                [03:54]
   08.Church Interlude                                          [04:25]
   09.Can I Come Over                                           [05:30]
   10.Just Ride                                                 [05:32]
   11.If U Dont Mind                                            [05:26]
   12.Its All About U                                           [05:02]
   13.Steppin                                                   [04:06]
   14.Mama Used to Say                                          [02:43]
   15.Come When I Call (Remix)                                  [04:42]
