***************Audio: Hebrew/Arabic with Swedish subtitles**************



General
Complete name                    : Lemon Tree.avi
Format                           : AVI
File size                        : 706 MiB
Duration                         : 1h 41mn
Overall bit rate                 : 970 Kbps

Video
ID                               : 0
Format                           : MPEG-4 Visual
Codec ID/Hint                    : XviD
Duration                         : 1h 41mn
Bit rate                         : 829 Kbps
Width                            : 716 pixels
Height                           : 552 pixels
Display aspect ratio             : 16:9
Resolution                       : 8 bits
Colorimetry                      : 4:2:0
Scan type                        : Progressive
Bits/(Pixel*Frame)               : 0.084
Stream size                      : 604 MiB (85%)
Writing library                  : XviD 1.1.2 (UTC 2006-11-01)

Audio
ID                               : 1
Format                           : MPEG Audio
Mode                             : Joint stereo
Codec ID/Hint                    : MP3
Duration                         : 1h 41mn
Bit rate                         : 128 Kbps
Channel(s)                       : 2 channels
Sampling rate                    : 48.0 KHz
Stream size                      : 93.2 MiB (13%)


