Party Party Party	Andrew W.K.

The Kids Are Insane	Urge Overkill

Red Right Hand	Nick Cave and the Bad Seeds

Conquest	Patti Page

Shape Of Things To Come	Max Frost & The Troopers

Lonely Is The Night	Billy Squier

Hit Me With Your Rhythm Stick	Ian Dury & The Blockheads

Fools Gold	The Stone Roses

Love Spreads	Stone Roses

Stranger On The Shore	Acker Bilk

Three Little Fishes	Kay Kyser

The Young Ones	Cliff Richard & The Shadows

Young Folks	Peter Bjorn And John

Peaches	Presidents of the United States of America

Lotion	GreensKeepers

Clint Eastwood	Gorillaz

Mama Said Knock You Out	LL Cool J

It Was A Good Day	Ice Cube

Forgot About Dre (feat Eminem)	Dr. Dre

I Know I Got Skyllz	Shaquille O'neal

It's Me, Bitches	Swizz Beats

Ms. New Booty	Bubba Sparxxx Ft. Ying Yang Twins

Bring 4th Ya Booty (Radio Edit)	10 Sui, La Resistance & The Ragga Twins

Cobrastyle	Teddybears (featuring Mad Cobra)

Boom Shot Dis	Kully B/Gussy G

U Got The Look	Prince

Batdance	Prince

Son of Shaft	The Bar-Kays

Mr. Roberts #1	National Lampoon Comedians

It's Me, Bitches (Instrumental) 	Swizz Beats
