IS THERE ANYBODY OUT THERE? PINK FLOYD *THE WALL* live 1980-1981
all tracks 320 kbps excellent quality encoding/ incl. artwork


Disc one
No.	Title	Music	Vocals	Length
1.	"MC:Atmos" (August 7, 1980; includes excerpt from "We'll Meet Again")	n/a	Yudman	1:13
2.	"In the Flesh?" (August 7, 1980)	 	Waters	3:00
3.	"The Thin Ice" (August 7, 1980/June 13, 1981)	 	Gilmour, Waters	2:49
4.	"Another Brick in the Wall (Part I)" (August 7, 1980)	 	Waters, Gilmour	4:13
5.	"The Happiest Days of Our Lives" (August 7, 1980)	 	Waters, Gilmour	1:40
6.	"Another Brick in the Wall (Part II)" (August 9, 1980/June 14, 1981)	 	Gilmour, Waters	6:19
7.	"Mother" (June 16, 1981)	 	Waters, Gilmour	7:54
8.	"Goodbye Blue Sky" (June 17, 1981)	 	Gilmour	3:15
9.	"Empty Spaces" (June 14, 1981)	 	Waters	2:14
10.	"What Shall We Do Now?" (June 14, 1981)	 	Waters	1:40
11.	"Young Lust" (August 7, 1980)	Waters, Gilmour	Waters, Gilmour	5:17
12.	"One of My Turns" (August 7, 1980)	 	Waters	3:41
13.	"Don't Leave Me Now" (August 7, 1980)	 	Waters	4:08
14.	"Another Brick in the Wall (Part III)" (August 7, 1980)	 	Waters	1:15
15.	"The Last Few Bricks" (August 7, 1980/August 9, 1980)	Waters, Gilmour	Instrumental	3:26
16.	"Goodbye Cruel World" (August 9, 1980)	 	Waters	1:41
Total length:53:50

Disc two
No.	Title	Music	Vocals	Length
1.	"Hey You" (June 16, 1981)	 	Gilmour, Waters	4:55
2.	"Is There Anybody Out There?" (August 7, 1980)	 	Waters, Gilmour	3:09
3.	"Nobody Home" (August 8, 1980/June 15, 1981)	 	Waters	3:15
4.	"Vera" (June 13, 1981)	 	Waters	1:27
5.	"Bring the Boys Back Home" (August 7, 1980)	 	Waters	1:20
6.	"Comfortably Numb" (August 9, 1980/June 15, 1981)	Gilmour, Waters	Waters, Gilmour	7:26
7.	"The Show Must Go On" (June 16, 1981)	 	Gilmour	2:35
8.	"MC:Atmos" (June 16, 1981)	n/a	Yudman	0:37
9.	"In the Flesh" (August 7, 1980)	 	Waters	4:23
10.	"Run Like Hell" (June 15, 1981/June 17, 1981)	Gilmour, Waters	Waters, Gilmour	7:05
11.	"Waiting for the Worms" (June 13, 1981)	 	Waters, Gilmour	4:14
12.	"Stop" (August 9, 1980)	 	Waters	0:30
13.	"The Trial" (August 9, 1980)	Waters, Ezrin	Waters	6:01
14.	"Outside the Wall" (August 8, 1980/August 9, 1980)	 	Waters	4:27
