Billboard Canadian Top 50 Hit Singles

2009-07-18
mp3 > 192kbps	

01	Black Eyed Peas - I Gotta Feeling
02	Pitbull - I Know You Want Me (Calle Ocho)
03	Sean Kingston - Fire Burning
04	Black Eyed Peas - Boom Boom Pow
05	Katy Perry - Waking Up In Vegas
06	Linkin Park - New Divide
07	Lady Gaga - Paparazzi
08	3OH!3 - Don't Trust Me
09	P!nk - Please Don't Leave Me
10	Lady Gaga - Love Game
11	Stereos - Summer Girl (CDN)
12	Justin Bieber - One time
13	Billy Talent - Rusted From The Rain (CDN)
14	Keri Hilson Feat. Kanye West & Ne-Yo - Knock You Down
15	Mariah Carey - Obsessed
16	Taylor Swift - You Belong With Me
17	Karl Wolf Feat. Culture - Africa (CDN)
18	Kelly Clarkson - I Do Not Hook Up
19	Marianas Trench - All To Myself (CDN)
20	Beyonce - Halo
21	Miley Cyrus - The Climb
22	Green Day - 21 Guns
23	Jordin Sparks - Battlefield
24	Kings Of Leon - Use Somebody
25	Taylor Swift - Love Story
26	Flo Rida - Right Round
27	State of Shock - Too Pretty (CDN)
28	David Guetta Feat. Kelly Rowland - When Love Takes Over
29	Suzie McNeil - Supergirl (CDN)
30	Drake - Best I Ever Had (CDN)
31	Lady Gaga - Poker Face
32	Jason Mraz - I'm Yours
33	Carly Rae Jepsen - Bucket (CDN)
34	The New Cities - Dead End Countdown (CDN)
35	Shinedown - Second Chance
36	Nickelback - If Today Was Your Last Day (CDN)
37	Jeremih - Birthday Sex
38	Matt Nathanson - Come On Get Higher
39	Green Day - Know Your Enemy
40	Melanie Fiona - Give It To Me Right (CDN)
41	Kid Cudi - Day 'N' Nite
42	Cage The Elephant - Ain't No Rest For The Wicked
43	Karl Wolf - Carrera (CDN)
44	Coldplay - Viva La Vida
45	Our Lady Peace - All You Did Was Save My Life (CDN)
46	Katy Perry - Hot N Cold
47	Rob Thomas - Her Diamonds
48	The Pussycat Dolls Feat. Nicole Scherzinger - Hush
49	Kenny Chesney - Out Last Night
50	Kristinia Debarge - Goodbye
