ARTIST  :   VA
TITLE   :   Dancefloor Party 2010
YEAR    :   2010
GENRE   :   Dance
QUALITY :   192kbps avg / Joint Stereo
TRACKS  :   94
SIZE    :   475.01 MB
TIME    :   345:35 Min

Tracklist:

CD1

01 Edward Maya - Stereo Love                                                    3:04
02 Javi Mula - Come On                                                          3:16
03 Ocean Drive - Some People                                                    3:31
04 Helmut Fritz - Miss France                                                   3:38
05 Agnes - Release                                                              3:06
06 Laurent Wolf - Walk On The Line (Remix)                                      2:52
07 Antoine Clamaran - Reach For The Stars                                       3:14
08 Skreatch vs Joe Smooth - Promised Milkshake                                  3:22
09 Robbie Rivera - Move Move                                                    3:28
10 Inna - Hot                                                                   3:36
11 Laurent H - Shake Your Body                                                  6:13
12 Angie Be - Soundwaves                                                        3:33
13 Junior Caldera - What You Get                                                3:19
14 Venus Kaly - Everytime                                                       3:35
15 Wild & Klosman - Discover                                                    3:21
16 Axwell - Leave The World                                                     2:42
17 Richard Grey vs Erick Morillo - Life Goes On 2009                            2:56
18 Lanfranchi & Marchesini - Boys & Girls                                       3:23
19 Booty Luv - Some Kinda Rush                                                  3:25
 
CD2

01 Pitbull - I Know You Want Me (Call Ocho)                                     3:41
02 Hold Up - I'm Free                                                           3:17
03 David Vendetta & Barbara Tucker - Anticipation (Radio Edit)                  4:01
04 Laurent Wolf feat Eric Carter - Explosion                                    3:18
05 Ron Carroll & Superfunk - Lucky Star 2009                                    3:32
06 Booty Luv - Dance Dance (Radio Edit Album Version)                           3:04
07 Starlighters - Universe (Original Radio Edit)                                2:49
08 Sidney Samson - Riverside                                                    2:26
09 Crazy Frog - Daddy Dj (Laurent H Crazy Vox Mix)                              5:39
10 Karika - Bass One (Radio Edit)                                               3:35
11 Eddie Thoneick feat Michael Feiner - Don't Let Me Down                       3:07
12 Etienne - Drop It                                                            2:54
13 S.a.p feat Little King - Boom                                                2:49
14 Jaguar - So Sexy (Original Mix)                                              3:38
15 The 3 Players - The Rebirth                                                  3:37
16 Krafft Dj Team - Ze Bass                                                     3:24
17 Lexy - Rich                                                                  3:12
18 Kilbeatz - Natural High                                                      3:22
19 Hakimakli - Fade To Black                                                    4:25

CD3

01 Desaparecidos - Fiesta Loca                                                  3:34
02 L Rayan - Informer                                                           3:14
03 Dim Chris feat Angie - Love Can't Get U Wrong                                3:25
04 Embargo - Embargo 2009                                                       3:26
05 Laurent H - Come On                                                          3:01
06 Fluxx & Lola - Romance                                                       3:37
07 Tom Snare - Other City                                                       2:54
08 Gianluca Zunda - Zanzibar                                                    2:39
09 Sirens feat Najee - Club La La                                               3:42
10 Travis Paddock - Here I Am                                                   3:13
11 Tango & Cash - The Week End 2009                                             4:00
12 Alan Master T - We Are In Love                                               3:06
13 Cooper's Gang - Music Is The Key                                             3:25
14 Mc Check One - Lovin U                                                       3:48
15 Fred Pellichero - Pump It 2009                                               3:22
16 Sandy Ground Factory - Move Ya Body                                          3:04
17 RLS feat Sandra Godoy - Festa                                                3:42
18 Edalam feat Dj Laura - Helicopta (Radio Remix 2009)                          3:43
19 Collectif Metisse - Laisse-Toi Aller Bebe                                    3:18
 
CD4

01 Muttonheads - Ready ? (Radio Edit)                                           3:27
02 Arno Cost - Darling Harbour (Radio Edit)                                     3:22
03 Ran Shani - Kyoto Nights (Radio Edit)                                        3:32
04 Michael Feiner - Must Be The Music (Bale & Voltaire Remix)                   3:41
05 Serial Crew (Mathieu Bouthier & Muttonheads) - Need U (Radio Edit)           3:22
06 Di Feno & Alls feat Karine Lima - Touch Your Mind (Tristan Garner Remix)     3:24
07 Norman Doray & Lisa Law - Jetlag (Vocal Radio Edit)                          3:37
08 Sebastien Benett - Dancin' (Radio Edit)                                      3:03
09 Jean Elan - Killer (Albin Myers & Jonas Sellberg Remix)                      6:52
10 Arias - Redblack (Radio Edit)                                                3:46
11 Swanky Tunes - Indigo (Radio Edit)                                           3:08
12 The Frenchmarkers - Let U Go (Got The Funk Mix, Da Fresh Remix)              3:34
13 Sandy Vee & Arias - Back In The Day (Original Mix)                           5:56
14 Didier Sinclair & Dj Chris Pi - Fantasy World (Radio Edit)                   3:43
15 Herald feat Gee - You Know (Short Edit Mix)                                  3:39
16 Soldiers Of Twilight - Drive On (Radio Edit)                                 4:08
17 D'julz - Reversal Luv (Purple Mix Edit)                                      3:42
18 Yann Fontaine - Lettin' Go (Original Mix)                                    7:18
 
CD5

01 Bacon Popper - Free                                                          5:10
02 Lady - Easy Love                                                             3:53
03 2 Unlimited - Tribal Dance                                                   3:40
04 666 - Alarma                                                                 3:27
05 740 Boyz - Shimmy Shake                                                      3:35
06 Bass Bumper - The Music Turns Me One                                         3:01
07 Disco Rouge - Disco Rouge                                                    2:58
08 Floorfilla - Anthem # 2                                                      3:28
09 Haddaway - What Is Love                                                      4:27
10 Jk - My Radio                                                                3:55
11 Gusto - Disco's Revenge (David Anthony UK Radio Mix)                         3:06
12 Nerio's Dubwork Meets Darryl Pandy - Feel It                                 3:33
13 Playahitty - The Summer Is Magic                                             3:55
14 Wighfield - Saturday Night                                                   3:40
15 2 In A Room - Ahora                                                          4:28
16 Mc B feat Daisy Dee - This Is Sound Is Technotronic                          3:33
17 Tom Wilson - Techno Cat                                                      4:00
18 Unconditional - Magic Feet                                                   6:10
19 Imagination - Megamix 2009                                                   6:45
