01. Serani - No Games (D&H Rmx)                                     2:07
Ã›Ã›Ã›Ã›   02. Akon ft. Kardinal Official - Beautiful                          3:09
Ã›Ã›Ã›Ã›   03. Etana & Alborosie - Blessing                                    1:30
Ã›Ã›Ã›Ã›   04. Terry Linen - Better Man                                        1:26
Ã›Ã›Ã›Ã›   05. Romain Virgo - Wanna Go Home                                    1:44
Ã›Ã›Ã›Ã›   06. Terry Linen - Couldnt Be The Girl For Me                        1:56
Ã›Ã›Ã›Ã›   07. Iceman - Wont Give Up On You                                    1:10
Ã›Ã›Ã›Ã›   08. Voicemail - Connection                                          0:46
Ã›Ã›Ã›Ã›   09. Christopher Martin - All I Need                                 0:46
Ã›Ã›Ã›Ã›   10. DLynx - Dream                                                   0:47
Ã›Ã›Ã›Ã›   11. D Major - Cant Buy Love                                         0:58
Ã›Ã›Ã›Ã›   12. Red Rat - I Am Just A Man                                       1:09
Ã›Ã›Ã›Ã›   13. Demarco - Feel So Right                                         1:43
Ã›Ã›Ã›Ã›   14. Richie Spice & Alison Hinds - King & Queen                      2:41
Ã›Ã›Ã›Ã›   15. John Legend & Estelle - No Other Love                           3:05
Ã›Ã›Ã›Ã›   16. Etana & Daville - Loving You                                    1:43
Ã›Ã›Ã›Ã›   17. Alaine & Tarrus Riley - Forever More                            1:55
Ã›Ã›Ã›Ã›   18. Busy Signal - One More Night                                    1:55
Ã›Ã›Ã›Ã›   19. Jah Cure - Call On Me                                           2:03
Ã›Ã›Ã›Ã›   20. Gyptian - Butterfly                                             1:43
Ã›Ã›Ã›Ã›   21. Christopher Martin - Melody To My Song                          1:39
Ã›Ã›Ã›Ã›   22. Wayne Marshall - Good Love                                      1:30
Ã›Ã›Ã›Ã›   23. Tami Chin - Forever Your Girl                                   1:29
Ã›Ã›Ã›Ã›   24. Tanya Stephens - Reminiscing                                    1:54
Ã›Ã›Ã›Ã›   25. Jah Cure - Searching                                            2:05
Ã›Ã›Ã›Ã›   26. Peetah Morgan - Secrets                                         1:25
Ã›Ã›Ã›Ã›   27. Busy Signal - Missing You                                       1:25
Ã›Ã›Ã›Ã›   28. Konshens - Straight Forward                                     1:23
Ã›Ã›Ã›Ã›   29. Oba Simba - Whistling Bird                                      1:24
Ã›Ã›Ã›Ã›   30. Jamelody - Spread Love                                          1:04
Ã›Ã›Ã›Ã›   31. Gyptian - Pretty Darling                                        1:50
Ã›Ã›Ã›Ã›   32. Lukie D - Young love                                            1:47
Ã›Ã›Ã›Ã›   33. Busy Signal - Night Shift                                       1:48
Ã›Ã›Ã›Ã›   34. Daville - Missing you                                           1:47
Ã›Ã›Ã›Ã›   35. Ziggi - I Dont Know Why                                         1:58
Ã›Ã›Ã›Ã›   36. Saralene - Aint That Just The Way                               2:50
Ã›Ã›Ã›Ã›   37. Beres Hammond - Still Be Heaven                                 3:51
Ã›Ã›Ã›Ã›   38. Bitty McLean - Got To Let Go                                    2:35
Ã›Ã›Ã›Ã›   39. Courtney John - Lucky Man                                       2:18
Ã›Ã›Ã›Ã›   40. Lloyd Brown - Baby Love                                         1:27
Ã›Ã›Ã›Ã›   41. Winston Reedy - No More Heartbreak                              1:15
Ã›Ã›Ã›Ã›   42. Twinkle Brothers - Too Late                                     1:10
Ã›Ã›Ã›Ã›   43. Mike Brooks - Give Love A Try                                   1:21
Ã›Ã›Ã›Ã›   44. Delroy Wilson - Cant Explain                                    1:23
Ã›Ã›Ã›Ã›   45. Sharon Jones - How Long Do I Have To Wait For You               1:59
Ã›Ã›Ã›Ã›                                                                     ------
Ã›Ã›Ã›Ã›                                                                      78:53
