Filename;Ver. 1;Ver. 2;Title;Track;Duration;File size (KB);Bitrate (kBit/s);CBR / VBR;Samplerate;Channel;Version
01. Intro;"1.1";"2.4";"Intro";"01/25";"00:00:15";"365";"197093";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
02. Flooding;"1.1";"2.4";"Flooding";"02/25";"00:02:27";"3321";"184519";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
03. Jesus Called Me;"1.1";"2.4";"Jesus Called Me";"03/25";"00:04:16";"5869";"187173";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
04. Mississippi Kite;"1.1";"2.4";"Mississippi Kite";"04/25";"00:03:41";"5244";"194096";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
05. Dusty Road;"1.1";"2.4";"Dusty Road";"05/25";"00:03:29";"4837";"188830";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
06. City Of The Dead;"1.1";"2.4";"City Of The Dead";"06/25";"00:03:43";"5219";"190915";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
07. Sno-Cat;"1.1";"2.4";"Sno-Cat";"07/25";"00:03:04";"4173";"185583";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
08. Chat - Touring England;"1.1";"2.4";"Chat - Touring England";"08/25";"00:01:35";"2190";"187674";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
09. Slippershell;"1.1";"2.4";"Slippershell";"09/25";"00:04:23";"6306";"195762";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
10. Teeth;"1.1";"2.4";"Teeth";"10/25";"00:04:17";"5877";"186920";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
11. Down In The Willow Garden;"1.1";"2.4";"Down In The Willow Garden";"11/25";"00:03:52";"5321";"187317";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
12. The Cuckoo;"1.1";"2.4";"The Cuckoo";"12/25";"00:02:29";"3590";"196276";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
13. Your Dirty Answer;"1.1";"2.4";"Your Dirty Answer";"13/25";"00:04:03";"5942";"199790";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
14. Fortune;"1.1";"2.4";"Fortune";"14/25";"00:03:01";"4200";"189443";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
15. Chat - Necrotic Bagels;"1.1";"2.4";"Chat - Necrotic Bagels";"15/25";"00:01:14";"1689";"185913";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
16. Gazebo Tree;"1.1";"2.4";"Gazebo Tree";"16/25";"00:03:52";"5507";"193888";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
17. Banks Of The Ohio;"1.1";"2.4";"Banks Of The Ohio";"17/25";"00:03:12";"4570";"194803";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
18. Me And My Charms;"1.1";"2.4";"Me And My Charms";"18/25";"00:04:46";"6899";"196959";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
19. Wayfaring Stranger;"1.1";"2.4";"Wayfaring Stranger";"19/25";"00:03:44";"5222";"190682";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
20. Tuesday Night;"1.1";"2.4";"Tuesday Night";"20/25";"00:04:29";"6311";"191458";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
21. Chat - Marie;"1.1";"2.4";"Chat - Marie";"21/25";"00:02:38";"3612";"186574";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
22. Pearl;"1.1";"2.4";"Pearl";"22/25";"00:03:59";"5644";"192852";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
23. Hook In Her Head;"1.1";"2.4";"Hook In Her Head";"23/25";"00:03:46";"5585";"201622";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
24. Your Ghost;"1.1";"2.4";"Your Ghost";"24/25";"00:03:29";"5001";"195574";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
25. Cartoons;"1.1";"2.4";"Cartoons";"25/25";"00:01:53";"2666";"192193";"VBR";"44100";"Joint Stereo";"MPEG-1.0 Layer III"
