User Type,Username,Date,Text
[V],Shroo,2010-09-22T16:03Z,"Njoy, and make sure ya seed! Freaks! ;]"
,PirateEcho,2010-09-22T16:34Z,"Getting this now. Thanks :)
I think it will be too arcady though :( Not that I've driven an F1 car and will be able to compare :)"
,sconter,2010-09-22T17:08Z,Its taking ages to get going...anyone actually finished yet?? and if so are you seeding?
,sconter,2010-09-22T17:09Z,And a HUGE thanx for this...been waitign AGES for this...youre a legend Shroo (love your ULs)...and of course TPTB.
,Likeadidas95,2010-09-22T18:39Z,"thanks again shroo and the whole team ! :)
again very hard and deffinetly good work !"
,sconter,2010-09-22T20:40Z,Its starting to get pathetic at how slow this thing is moving!!!
,Likeadidas95,2010-09-22T22:27Z,sconter is right !
,starbuck1983,2010-09-22T22:53Z,"I don't know if that's going to stay like this, but my download speed is incredebly increasing.
Thank you very much. I'll be seeding when finished."
,sconter,2010-09-23T01:14Z,It is getting a little better...its going at about 20-30kb. That will do me if it goes like that till it finishes. I will continue to seed when finished...ratio is already at 1.402.
,NvidiaPhysX,2010-09-23T04:21Z,only one thing to describe tptb's games.........AMAZING
,starbuck1983,2010-09-23T11:41Z,"After running the setup.bat, all we gotta do is waiting while the music is going on ?"
,starbuck1983,2010-09-23T12:05Z,"self-answer : press escape then any key to start the install.
I only lost an hour ^^"
,Likeadidas95,2010-09-23T12:35Z,"why this game runs on windowed moder for me ! 
it starts lagging then :S
please help me to remove the windowed mode !"
,NvidiaPhysX,2010-09-23T12:35Z,"Alright guys,
To increase speed copy all the trackers which are present in your active(downloading torrent) properties box and continue pasting it(at the same place) unless it limits you. I got 93 kb/s from 2kb/s,
fuckin great "
,Likeadidas95,2010-09-23T12:36Z,"why my f1 runs on windowed mode ?!
please help me, to remove windowed mode !
the game laggs if this is on windowed ! 
please help guys ! "
,Likeadidas95,2010-09-23T12:49Z,"sorz guys ! 
i managed to fix this ! 
if u have "" Windowed Mode "" stuff ..
just go to my Docs, Your Games, FormulaOne, 
Hardware settings, open it up with notepad and find the line "" Fullscreen "" - false ..
remove false and type in true  :)
wola, no window mode ! "
,sconter,2010-09-23T14:10Z,"Hey Nvidia, thanx for the tip. Its picked up a lot more since and it will be finished in no time...just a note to everyone...if you have downloaded and installed please start the seeding again...as TPTB say ""SEED TILL YOU BLEED"""
,NarutoNamikaze,2010-09-23T15:57Z,"@ NvidiaPhysX.

Which torrent downloader do you use? utorrent?"
,NvidiaPhysX,2010-09-23T16:55Z,"@NarutoNamikaze I use utorrent 2.0.4.....hmm...yeah, probably the latest one."
,woody_76,2010-09-23T18:17Z,"this is bad plse seed guys im uploading at 100kb an down load at between 4 an 10 kb, i hav 20 meg download for gods sake, Plse seed u greedy leechers !!!!!!"
