  More of my taste in music.......
  

  1.BORN IN THE USA				BRUCE SPRINGSTEEN
  2.PINK HOUSES					JOHN MELLENCAMP
  3.JOHNNY COME LATELY				STEVE EARLE & THE POGUES
  4.THAT'S FREEDOM				TOM KIMMEL
  5.DUN RINGILL					JETHRO TULL
  6.STRENGELEGEN				GASOLIN'
  7.THE ONE I LOVE				R.E.M.
  8.SATURDAY NIGHT ALRIGHT FOR FIGHTING	        THE WHO
  9.BRING ME SOME WATER			        MELISSA ETHERIDGE
10.BUFFALO SOLDIER				BOB MARLEY
11.SHELTER					LONE JUSTICE
12.PEOPLE GET READY				ROD STEWART & JEFF BECK
13.GETTYSBURG					THE BRANDOS
14.TO BE A LOVER				BILLY IDOL
15.A FARYTAIL OF NEW YORK			THE POGUES
16.A THOUSAND MILES FROM NOWHERE		DWIGHT YOAKAM
17.WALK OF LIFE				        DIRE STRAITS
18.DOWN ON THE CORNER			        CREEDENCE CLEARWATER REVIVAL
19.A LITTLE BIT MORE				DR.HOOK
20.DO YA THINK I'M SEXY				ROD STEWART
21.SLEGDEHAMMER				        PETER GABRIEL
22.HEART OF ROCK'N'ROLL			        HUEY LEWIS & THE NEWS
23.MAMA 					GENESIS
24.TAKE IT EASY					THE EAGLES
25.CAN'T STOP THIS THING WE STARTED		BRYAN ADAMS
26.DON'T BRING ME DOWN			        E.L.O.
27.ROSANNA					TOTO
28.DON'T FORGET TO DANCE			THE KINKS
29.SOMEBODY LIKE YOU				KEITH URBAN
30.NEW YEARS DAY				U2
31.WHAT YOU NEED				INXS
32.WALKING IN MEMPHIS				MARC COHN
33.JAMMING ME					TOM PETTY & THE HEARTBREAKERS
34.DON'T WORRY, BE HAPPY			BOBBY MCFERRIN
35.REEL'N'ROLL					RAWLIN'S CROSS
36.GLASS OF CHAMPAGNE                           SAILOR
37.ROCK THIS TOWN                               STRAY CATS
38.HANDLE WITH CARE                             THE TRAVELLING WILBURY'S
39.LONDON CALLING                               THE CLASH
40.MULL OF KINGTYRE                             WINGS
