Ballads				733 kbps FLAC
Blue Breakbeats			320 kbps
Goin' West			128 kbps
Idle Moments			256 kbps
Talkin' About (1964)		320 kbps
First Recordings		128 kbps
First Session			320 kbps
Gooden's Corner			128 kbps
Born to Be Blue			256 kbps
Gooden's Corner			128 kbps
Grantstand			128 kbps
Green Street			201 kbps VBR
Standards			323 kbps 
Sunday Mornin'			320 kbps
oleo				128 kbps
pas de titre			128 kbps
Feelin' The Spirit		256 kbps
The Latin Bit			128 kbps
Am I Blue			192 kbps
Matador				192 kbps
Solid				256 kbps
Street of Dreams		320 kbps
Talkin' About			320 kbps
I Want to Hold Your Hand	128 kbps
Carryin' On			128 kbps
Alive!				128 kbps
green is beautiful		128 kbps
The Final Comedown		128 kbps
Visions				320 kbps
His Majesty King Funk		128 kbps
The Lost Grooves		320 kbps
Live at Club Mozambique		128 kbps
Easy				128 kbps
The Complete Quartets with Sonny Clark [disc 2]	256 kbps
Organ Trio And Quartet (1960-67)	128 kbps
