Top 40 week 30 2010 door TorrentNL			
			
DW	VW	AW	Artiest en titel
1	1	7	Yolanda be cool vs. Dcup- We no speak americano
2	3	9	Katy Perry ft. Snoop Dogg- California gurls
3	2	8	K'naan- Wavin' flag
4	4	10	Lady GaGa- Alejandro
5	12	6	Ginger Ninja- Sunshine
6	8	9	Shakira- Waka Waka 
7	6	13	Stromae- Alors on danse
8	9	5	B.O.B ft. Havley Williams- Airplanes
9	13	3	Eminem& Rihanna- Love the way you lie
10	11	4	Tim Berg- Bromance
11	14	4	Travie Mccoy ft. Bruno Mars- Billionaire
12	7	11	Lady Antebellum- Need you now
13	5	9	Sia- Clap your hands
14	16	7	Enrique Iglesias feat. Pitbull- I like it
15	18	5	Inna- Amazing
16	17	6	John Mayer feat. Taylor Swift- Half of my heart
17	10	9	Marco Borsato & Guus Meeuwis- Schouder aan Schouder
18	19	8	Esm̩e Denters- Love dealer
19	0	1	Swedish House Mafia- One
20	15	22	John Mayer- Heartbreak warfare
21	26	3	A silent express- Will I be around
22	27	2	One Republic- Secrets
23	21	5	Wolter Kroes- Viva Hollandia WK 2010
24	24	13	Scouting for Girls- This ain't a love song
25	25	4	Di-rect- Hold on
26	29	2	Mafikizolo- Marabi
27	35	2	Jacqueline Govaert- Overrated
28	22	14	Taio Cruz- Break your heart
29	30	5	Cascada- Pyromania
30	20	24	Train- Hey soul sister
31	31	3	Rihanna- Te amo
32	0	1	Nickelback- This afternoon
33	38	2	Bertolf- Cut me loose
34	28	13	Kelis- Acapella
35	37	3	Miss Montreal- Swing the night away
36	23	4	Vengaboys- Rocket to uranus
37	0	1	Jason Derulo- Ridin' solo
38	33	8	Caro Emerald- That man
39	0	1	Sunrise Inc. Versus Starchild- Lick shot
40	32	24	David Guetta- Memories
