De Mega Top 50 wordt samengesteld door (c) GfK Retail and Technology Benelux B.V. aan de hand van de verkoopcijfers van singles ÃƒÂ©n door de airplay die de nummers krijgen op 3FM en TMF. Je hoort de hele lijst op zaterdag van 15:00 tot 18:00 uur op 3FM.

Week 13 in de Mega Top 50:

01 caro emerald 			a night like this
02 the baseballs 			umbrella
03 david guetta ft kid cudi 		memories
04 train 				hey soul sister
05 b.o.b ft bruno mars 			nothin' on you
06 cheryl cole 				fight for this love
07 alicia keys 				empire state of mind (part II) broken down
08 adam lambert 			whataya want for me
09 john mayer 				heartbreak warfare
10 lady gaga ft beyonce 		telephone
11 jan smit 				leef nu het kan
12 iyaz 				replay
13 the opposites 			licht uit
14 gramophonedzie 			why don't you
15 rihanna 				rudeboy
16 jay-z + alicia keys 			empire state of mind
17 anouk 				for bitter or worse
18 alphabeat 				the spell
19 owl city 				fireflies
20 biffy clyro 				many of horror
21 timbaland ft katy perry 		if we ever meet again
22 black eyed peas 			rock that body
23 kane / kane & carice van houten 	no surrender
24 laura jansen 			use somebody
25 meck ft dino 			feels like a prayer
26 pearl jam 				just breathe
27 amy macdonald 			don't tell me that it's over
28 lindstrom & christabelle 		lovesick
29 one republic 			all the right moves
30 giovanca 				drop it
31 gabriella cilmi 			on a mission
32 snow patrol 				just say yes
33 laura jansen 			wicked world
34 jason derulo 			in my head
35 lady gaga 				bad romance
36 kesha 				tik tok
37 customs 				rex
38 snow patrol 				run
39 wesley 				you raise me up
40 rox 					my baby left me
41 go back to the zoo 			electric
42 moss 				i apologise (dear simon)
43 alexandra burke ft flo rida 		bad boys
44 sieneke 				sja-la-la (ik ben verliefd)
45 jurk! 				ik zou zo graag
46 gorillaz 				stylo
47 mumford & sons 			the cave
48 the heavy 				how you like me now
49 tiesto ft nelly furtado 		who wants to be alone
50 stereophonics 			innocent

Greetz

EvanW
