01.bingo                                                     [03:54]
02.call waka                                                 [04:57]
03.what yall talkin bout                                     [03:46]
04.throwin fingers                                           [05:07]
05.sex                                                       [03:47]
06.gun sound                                                 [03:14]
07.off the chain                                             [04:34]
08.head first                                                [03:03]
09.bugs bunny                                                [03:51]
10.waster                                                    [02:40]
11.why they hatin on flocka                                  [02:46]
12.so tired                                                  [02:54]
13.bang for life                                             [02:14]
14.oh lets do it                                             [02:38]
15.waka flocka gang                                          [03:49]
16.all i got                                                 [04:25]
17.we got it                                                 [03:38]
18.where the gangstas be                                     [01:14]
19.till i die                                                [02:15]
20.hard in the paint                                         [03:15]
21.im ballin out                                             [02:36]
22.same shit                                                 [02:49]
23.so icey girl                                              [01:24]
