No. 	Title 	Writer(s) 	Producer(s) 	Length
1. 	"Cold Wind Blows"   	M. Mathers, J. Smith, S. Byrne, H. Marsh, J. Perry, C. Synge 	Just Blaze 	5:04
2. 	"Talkin' 2 Myself" (featuring Kobe) 	M. Mathers, K. Rahman, P. Injeti, B. Honeycutt 	DJ Khalil 	5:00
3. 	"On Fire"   	M. Mathers, D. Porter, C. Wilson, L. Wilson, R. Wilson 	Denaun Porter 	3:34
4. 	"Won't Back Down" (featuring Pink) 	M. Mathers, K. Rahman, E. Alcock, L. Rodrigues, C. Smith 	DJ Khalil 	4:26
5. 	"W.T.P."   	M. Mathers, L. Resto, D. Chin-Quee, J. Gilbert 	Supa Dups, JG (co.), Eminem (add.) 	3:58
6. 	"Going Through Changes"   	M. Mathers, E. Heynie, J. Osbourne, A. Iommi, W. Ward, T. Butler 	Emile 	4:59
7. 	"Not Afraid"   	M. Mathers, L. Resto, M. Samuels, J. Evans, M. Burnett 	Boi-1da, Jordan Evans (add.), Matthew Burnett (add.), Eminem (add.) 	4:08
8. 	"Seduction"   	M. Mathers, M. Samuels, M. Burnett, S. Jordan 	Boi-1da, Matthew Burnett (add.) 	4:35
9. 	"No Love" (featuring Lil Wayne) 	M. Mathers, D. Carter, J. Smith, D. Halligan, J. Torello 	Just Blaze 	5:00
10. 	"Space Bound"   	M. Mathers, J. Scheffer, S. McEwan 	Jim Jonsin 	4:39
11. 	"Cinderella Man"   	M. Mathers 	Script Shepherd 	4:39
12. 	"25 to Life"   	M. Mathers, K. Rahman, L. Rodrigues, D. Tannenbaum 	DJ Khalil 	4:02
13. 	"So Bad"   	M. Mathers, A. Young, M. Batson, D. Parker, T. Lawrence, S. Cruse, N. Brongers 	Dr. Dre, Nick Brongers 	5:25
14. 	"Almost Famous"   	M. Mathers, K. Rahman, L. Rodrigues, E. Alcock. P. Injeti, D. Tannenbaum 	DJ Khalil 	4:53
15. 	"Love the Way You Lie" (featuring Rihanna) 	M. Mathers, A. Grant, H. Hafferman 	Alex da Kid 	4:23
16. 	"You're Never Over"   	M. Mathers, J. Smith, M. Mainieri Jr., G. McMann 	Just Blaze 	5:06
17. 	"Untitled" (hidden track) 	M. Mathers, K. Muchita, M. Crawford, J. Madara, D. White 	Havoc, Magnedo7 (co.) 	3:14
