01 -Bounty Killa-Money Maker                  [02:09]
   02 -Tyrical-Wah My Own                        [02:04]
   03 -Charly Blacks-Nuh New Friend              [01:36]
   04 -Mavado and Di Genius-Cant Take We Life    [02:16]
   05 -Jay Z and Rihanna-Run this Town           [02:30]
   06 -Mariah Carey-Obssessed                    [02:45]
   07 -Vybz Kartel-A You Me Want                 [01:57]
   08 -Bounty Killer-Gaza Fag and Drag           [05:07]
   09 -Vybz Kartel-Nuh Bore Tongue               [02:36]
   10 -Vybz Kartel-Sumaddi Ago Get Gunshot       [01:15]
   11 -Sean Storm-Mekk Dem Muma Bawl             [01:14]
   12 -Merital-War is on                         [01:17]
   13 -Mavado-Sting Dem                          [01:22]
   14 -Elephant Man-Shell Down                   [00:18]
   15 -Aidonia-We Siick                          [01:32]
   16 -Busy Signal-Any How Dem Diss              [01:44]
   17 -Aidonia-Supmu Fi You                      [02:06]
   18 -Russian Productions-Giants Riddim Version [00:42]
   19 -Andrew and Wadda Blood-Nah Do it          [01:37]
   20 -Beenie Man-We Are Giants                  [01:05]
   21 -Elephant Man-Badmind                      [01:04]
   22 -Ding Dong-Skip to My Lou                  [01:37]
   23 -Vybz Kartel-Nah Let Go                    [01:34]
   24 -Popcaan-Ordinary Girl                     [01:10]
   25 -Lisa Hype-No Man                          [01:01]
   26 -Vybz Kartel and Shebba-No Do Me Dat       [01:09]
   27 -Lutan Fyah-Nuh Fraid                      [00:53]
   28 -Merciless-Di Letter                       [01:57]
   29 -Kiprich-No Tek Program                    [01:36]
   30 -Oxygen-Candie in the Wind                 [03:00]
   31 -Mr.Easy-Mind of My Money                  [02:43]



                                            Time:[54:56]min
                                            Size:[126,3]MB

