Name	Size
Bodypump 69 & 70 - Les Mills	161.013.070
Bodypump 70 - 01 - Warming Up - Danzel - Dont leave me with the light on.mp3	5.825.027
Bodypump 70 - 02 - LegsSquats - Pink - It's All Your Fault.mp3	9.395.045
Bodypump 70 - 03 - Chest - Guru Josh Project - Infinity 2008 (Klaas Vocal Edit).mp3	7.832.032
Bodypump 70 - 04 - Back - Hamstrings - E-Type - True Believer (true_version).mp3	5.366.496
Bodypump 70 - 05 - ArmsTriceps - Christina Aguilera - Keeps Gettin' Better.mp3	7.525.819
Bodypump 70 - 06 - ArmsBiceps - Nickelback - Gotta Be Somebody.mp3	10.268.489
Bodypump 70 - 07 - LegsLunges - Sash! ft. Stunt - Raindrops (Kindervater Radio Edit).mp3	7.949.871
Bodypump 70 - 08 - ShouldersArms - Hinder - Thunderstruck.mp3	4.699.317
Bodypump 70 - 09 - AbdominalsCore - Kanye West - Love Lockdown.mp3	10.845.851
Bodypump 70 - 10 - CooldownStrech - Beyonce - If I Were A Boy.mp3	10.091.787
BodyPump 70 poster.jpg	36.422

Bodypump 69 - 01 - WarmingUp - Jamie Knight - Better In Time (Almighty Radio Edit).mp3	6.411.073
Bodypump 69 - 02 - Squats - Dan Winter - Get This Party Started.mp3	4.210.649
Bodypump 69 - 02 - Squats - Pink - Get the Party Started.mp3	6.566.481
Bodypump 69 - 03 - Chest - Fall Out Boy - I Don't Care.mp3	8.606.058
Bodypump 69 - 04 - BackHamstrings - Liz Kay - Castles in the sky (cascada radio edit).mp3	4.899.937
Bodypump 69 - 05 - ArmTriceps - Rihanna - Shut Up And Drive.mp3	8.654.593
Bodypump 69 - 06 - Biceps - Pink - So What.mp3	6.467.051
Bodypump 69 - 07 - LegsLunges - Dyce - Stand Alone.mp3	5.534.402
Bodypump 69 - 08 - ShouldersArms - Basshunter - All I Ever Wanted.mp3	7.203.845
Bodypump 69 - 09 - Abdominals - Kid Rock - All Summer Long.mp3	13.163.027
Bodypump 69 - 10 - CoolDown - 3 Doors Down - Let Me Be Myself.mp3	9.186.908
BodyPump 69 poster.jpg	272.890
