Compilation of 100 songs played on the video of Brodie Cumming.

"100 Famous Rock Guitar Riffs in one take"


--------------------------------------------------------------

ID	Band			Song
_____________________________________________________________

1	Led Zeppelin		Stairway To Heaven
			
2	Deep Purple		Smoke on the Water
			
3	Guns & Roses		Sweet Child O' Mine
			
4	Bon Jovi		Wanted Dead Or Alive
			
5	Eric Clapton		Layla
			
6	Santana			Black Magic Woman
			
7	Alice Cooper		No More Mr. Nice Guy
			
8	Michael Jackson		Beat It
			
9	Ozzy Osbourne		Crazy Train
			
10	Motely Crue		Dr. Feelgood
			
11	Nirvana			Smells Like Teen Spirit
			
12	Lynyrd Skynyrd		Sweet Home Alabama
			
13	Pantera			Cowboys From Hell
			
14	Metallica		Enter Sandman
			
15	Chet Atkins		Mister Sandman
			
16	Linkin Park		One Step Closer
			
17	AC/DC			Back In Black
			
18	Jimi Hendrix		Purple Haze
			
19	Led Zeppelin		Black Dog
			
20	Heart			Crazy On You
			
21	Led Zeppelin		Immigrant Song
			
22	Rage Against the Machine Bulls On Parade
			
23	Van Halen		Unchained
			
24	George Thorogood	Bad To The Bone
			
25	Chuck Berry		Johnny B. Goode
			
26	Joe Satriani		Surfing with the Alien
			
27	Dire Straits		Money For Nothing
			
28	Living Colour		Cult Of Personality
			
29	Rolling Stones		Start Me Up
			
30	Cream			Sunshine of your Love
			
31	Van Halen		Runnin' with the Devil
			
32	AC/DC			Hells Bells
			
33	Jimi Hendrix		Foxy Lady
			
34	The Edgar Winter Group	Frankenstein
			
35	Jethro Tull		Aqualung
			
36	Iron Butterfly		In-A-Gadda-Da-Vida
			
37	Kansas			Carry On Wayward Son
			
38	Blue Oyster Cult	(Don't Fear) The Reaper
			
39	Pantera			Cemetary Gates
			
40	Van Halen		Ain't Talkin' 'Bout Love
			
41	Aerosmith		Walk This Way
			
42	Spinal Tap		Tonight 'm Gonna Rock You (Tonight)
			
43	Eagles			Life in the Fast Lane
			
44	Nirvana			Come As You Are
			
45	Smashing Pumpkins	Zero
			
46	Poison			Nothin' But A Good Time
			
47	Ratt			Round n Round
			
48	Dokken			It's Not Love
			
49	Rick Derringer		Rock and Roll, Hoochie Koo
			
50	Beatles			Norwegian Wood
			
51	Red Hot Chili Peppers	Under The Bridge
			
52	Led Zeppelin		Kashmir
			
53	The Yardbirds		Train Kept A-Rolling
			
54	Beatles			Blackbird
			
55	Survivor		Eye of the Tiger
			
56	Jimi Hendrix		All Along the Watchtower
			
57	Van Morrison		Brown Eyed Girl
			
58	Motorhead		Ace Of Spades
			
59	Judas Priest		Breaking The Law
			
60	Brian David Blush/Roger Meade Clyne	King of the Hill Theme
			
61	Free			All Right Now
			
62	Lenny Kravitz		Are You Gonna Go My Way
			
63	Green Day		When I Come Around
			
64	Yngwie Malmsteen	Trilogy Suite Op.5
			
65	Bruce Springsteen	Born To Run
			
66	Roy Orbison		Pretty Woman
			
67	Beatles			Day Tripper
			
68	Van Halen		Panama
			
69	Steppenwolf		Born To Be Wild
			
70	Boston			More Than A Feeling
			
71	Ted Nugent		Cat Scratch Fever
			
72	Ozzy Osbourne		Bark At The Moon
			
73	Nazareth		Hair Of The Dog
			
74	Ozzy Osbourne		No More Tears
			
75	No Doubt		Just A Girl
			
76	Black Sabbath		Iron Man
			
77	Aerosmith		Sweet Emotion
			
78	Stevie Ray Vaughn	Pride And Joy
			
79	ZZ Top			Sharp Dressed Man
			
80	Bush			Machine Head
			
81	Michael Jackson		Black Or White
			
82	Dire Straits		Sultans Of Swing
			
83	Jimi Hendrix		Hey Joe
			
84	Led Zeppelin		Whole Lotta Love
			
85	Led Zeppelin		10 Years Gone
			
86	The Troggs		Wild Thing
			
87	Yes			Owner Of A Lonely Heart
			
88	Steppenwolf		Magic Carpet Ride
			
89	Joan Jett & the Blackhearts	I Love Rock N ' Roll
			
90	Rolling Stones		Brown Sugar
			
91	Los Lobos		La Bamba
			
92	Doobie Brothers		China Grove
			
93	Van Halen		You Really Got Me
			
94	The Surfaris		Wipe Out
			
95	The Animals		House Of The Rising Sun
			
96	Kansas			Dust In The Wind
			
97	Fleetwood Mac		Rhiannon
			
98	Creedence Clearwater Revival	Susie Q
			
99	Jimi Hendrix		Voodoo Child
			
100	Van Halen		Eruption

_____________________________________________________________
