 http://i1022.photobucket.com/albums/af345/bhoottt/WWE-NXT20thJULY2010XvidVAMPIREROCKs_20100722-10511742.jpg 
http://i1022.photobucket.com/albums/af345/bhoottt/WWE-NXT20thJULY2010XvidVAMPIREROCKs_20100722-10510832.jpg 
http://i1022.photobucket.com/albums/af345/bhoottt/WWE-NXT20thJULY2010XvidVAMPIREROCKs_20100722-10522114.jpg 
http://i1022.photobucket.com/albums/af345/bhoottt/WWE-NXT20thJULY2010XvidVAMPIREROCKs_20100722-10523554.jpg 
http://i1022.photobucket.com/albums/af345/bhoottt/WWE-NXT20thJULY2010XvidVAMPIREROCKs_20100722-10522670.jpg


ile size                        : 291 MiB
Duration                         : 46mn 21s
Overall bit rate                 : 879 Kbps
odec ID                         : XVID
Codec ID/Hint                    : XviD
Duration                         : 46mn 21s
Bit rate                         : 768 Kbps
Width                            : 624 pixels
Height                           : 352 pixels
Display aspect ratio             : 16:9
Frame rate                       : 23.976 fps
Resolution                       : 8 bits
Colorimetry                      : 4:2:0
