Filename,Size,Unit
cover.jpg,62.71,K
Etta James - Etta; Red Hot 'n' Live - 01 - Respect Yourself.mp3,6.85,M
Etta James - Etta; Red Hot 'n' Live - 02 - I'd Rather Go Blind.mp3,6.35,M
Etta James - Etta; Red Hot 'n' Live - 03 - Shake Your Bootie.mp3,6.1,M
Etta James - Etta; Red Hot 'n' Live - 04 - Dust Your Broom.mp3,5.41,M
Etta James - Etta; Red Hot 'n' Live - 05 - Summer Heat.mp3,5.25,M
Etta James - Etta; Red Hot 'n' Live - 06 - Drown In My Own Tears.mp3,6.33,M
Etta James - Etta; Red Hot 'n' Live - 07 - Can't Turn You Loose.mp3,5.51,M
Etta James - Etta; Red Hot 'n' Live - 08 - Rock Me Baby.mp3,4.79,M
Etta James - Etta; Red Hot 'n' Live - 09 - Stormy Monday.mp3,7.25,M
Etta James - Etta; Red Hot 'n' Live.m3u,585,B
