    We Are Young Money
-----------------------------------

    Title                     LÃ¤nge


 1. Gooder                    04:26
 2. Every Girl In The World   05:13
 3. Ms. Parker                05:19
 4. Wife B**ter               04:43
 5. New S***                  03:32
 6. Pass The Dutch            05:06
 7. Play In My Band           04:08
 8. F*** Da Bulls***          03:07
 9. Bedrock                   04:48
10. Girl I Got You            03:19
11. Steady Mobbin'            05:10
12. Roger That                03:29
13. She Is Gone               03:50
14. Streets Is Watchin'       03:41
15. Finale                    05:22
