1  - Lollipop 	                    Barbie Girl (4:35)
2  - Surfin' Safari 	            Sex On The Beach (3:14)
3  - Wow Wow Girls 	            Jongens (3:49)
4  - DJ Sjimmy 	                    Meisje (3:47)
5  - Sun Pub 	                    Uno Dos Tres (3:40)
6  - Charly Lownoise & Mental Theo  Just Can't Get Enough (4:41)
7  - Without A Doubt 	            Don't Speak (5:47)
8  - Flamman & Abraxas Feat. MC Lynx 	I Need Love (3:39)
9  - De Bos 	                    On The Run (2:57)
10 - Lilmotion 	                    D-Groovy (4:08)
11 - Caribbean Cassanova 	    When My Baby Smiles (3:14)
12 - Happy Pie Wie 	            Sing Halleluja (3:52)
13 - Space Bunny's 	            Yekke Yekke (3:47)
14 - Wappie Wonder 	            Isn't She Lovely (3:11)
15 - De Mosselman 	            De Zevensprong (3:07)
16 - DJ Wappie 	                    Verliefd Tot Over Mijn Oren (3:41)
17 - MC Jomanda 	            Leven Na De Dood (3:21)
18 - DJ Alladin 	            Vlieg Met Me Mee (3:24)
19 - Bodyparts 	                    Together Forever (3:57)
20 - Bambino 	                    Wooly Bully (5:19)
