
Title: Rise Up

Artist: Cypress Hill

Genre: Rap

Tracks: 15

Rip Quality: VBRkbps / 44.1kHz / Joint-Stereo

Playing Time: 58:19 min

Release Size: 79,5 MB

Source: CDDA

Grabber: EAC

Encoder: Lame 3.97



Track List



| #. | Trackname | time |



| 01.| It Ain't Nothin (Ft. Young De) | 04:02 |

| 02.| Light It Up | 03:18 |

| 03.| Rise Up (Ft. Tom Morello) | 03:51 |

| 04.| Get It Anyway | 04:20 |

| 05.| Pass The Dutch | 03:21 |

| | (Ft. Evidence & The Alchemist) | |

| 06.| Bang Bang | 03:49 |

| 07.| K.U.S.H. | 04:58 |

| 08.| Get 'em Up | 03:53 |

| 09.| Carry Me Away (Ft. Mike Shinoda) | 04:08 |

| 10.| Trouble Seeker (Ft. Daron Malakian) | 03:40 |

| 11.| Take My Pain (Ft. Everlast) | 03:37 |

| 12.| I Unlimited | 04:25 |

| 13.| Armed & Dangerous | 03:27 |

| 14.| Shut 'em Down (Ft. Tom Morello) | 03:26 |

| 15.| Armada Latina | 04:04 |

| | (Ft. Pitbull & Marc Anthony) | |



Total time 58:19 |
