Whip It (Music from the Motion Picture)

1	Pot Kettle Black
	Tilly and the Wall					2:50

2	Sheena Is a Punk Rocker
	The Ramones						2:46

3	What's the Attitude (feat. Hymnal)
	Cut Chemist						4:05

4	Bang On
	The Breeders						2:00

5	Dead Sound
	The Raveonettes						3:33

6	Blue Turning Grey
	Clap Your Hands Say Yeah				1:15

7	Your Arms Around Me
	Jens Lekman						5:01

8	Learnalilgivinanlovin
	Gotye							2:47

9	Boys Wanna Be Her
	Peaches							3:54

10	Jolene
	Dolly Parton						2:40

11	Caught Up In You
	.38 Special						4:35

12	Never My Love (feat. Adam Green)
	Har Mar Superstar					3:04

13	Black Gloves
	Goose							2:34

14	Crown of Age
	The Ettes						2:15

15	High Times (feat. Turbo Fruits)
	Landon Pigg						4:53

16	Unattainable
	Little Joy						2:00

17	Lollipop (Squeak E. Clean & Desert Eagles Remix)
	The Chordettes						2:06

18	Doing It Right
	The Go! Team						3:24

19	Breeze
	Apollo Sunshine						2:50

20	Know How
	Young MC						4:01

21	The Road to Austin
	The Section Quartet					1:56
