Filename,Size,Unit
Chicago/Atlantic Blues; Chicago - 15 - Luther Allison - Please Send Me Someone To Love.mp3,16.87,M
Chicago/Atlantic Blues; Chicago - 13 - Koko Taylor - Wang Dang Doodle.mp3,14.14,M
Chicago/Atlantic Blues; Chicago - 08 - Otis Rush - Gambler's Blues.mp3,13.04,M
Chicago/Atlantic Blues; Chicago - 17 - J. B. Hutto - I Feel So Good.mp3,11.95,M
Chicago/Atlantic Blues; Chicago - 12 - Muddy Waters - Honey Bee.mp3,11.81,M
Chicago/Atlantic Blues; Chicago - 11 - Howlin' Wolf - Highway 49.mp3,11.46,M
Chicago/Atlantic Blues; Chicago - 10 - Otis Rush - Reap What You Sow.mp3,11.25,M
Chicago/Atlantic Blues; Chicago - 16 - Luther 'Guitar Jr.' Johnson - Walkin' The Dog.mp3,9.85,M
Chicago/Atlantic Blues; Chicago - 04 - Buddy Guy & Junior Wells - T-Bone Shuffle.mp3,9.8,M
Chicago/Atlantic Blues; Chicago - 06 - Freddie King - Play It Cool.mp3,8.61,M
Chicago/Atlantic Blues; Chicago - 09 - Otis Rush - Feel So Bad.mp3,8.35,M
Chicago/Atlantic Blues; Chicago - 05 - Freddie King - I Wonder Why.mp3,7.58,M
Chicago/Atlantic Blues; Chicago - 01 - Johnny Jones - Chicago Blues.mp3,7.36,M
Chicago/Atlantic Blues; Chicago - 07 - Freddie King - Wake Up This Morning.mp3,7.28,M
Chicago/Atlantic Blues; Chicago - 02 - Buddy Guy & Junior Wells - Poor Man's Plea.mp3,7.26,M
Chicago/Atlantic Blues; Chicago - 03 - Buddy Guy & Junior Wells - My Baby She Left Me.mp3,7.24,M
Chicago/Atlantic Blues; Chicago - 14 - Johnny Shines - Dust My Broom.mp3,6.73,M
Chicago/Atlantic Blues; Chicago - Full.jpg,2.86,M
Chicago/Atlantic Blues; Chicago - Back.jpg,1.82,M
Chicago/Atlantic Blues; Chicago - Front.jpg,1.45,M
Chicago/Atlantic Blues; Chicago - Cd.jpg,570.81,K
Chicago/Atlantic Blues; Chicago - Inside.jpg,535.82,K
