         album........ : Back Street Brit Funk Compiled by Joey Negro
         artist....... : VA
         genre........ : House
         company/label.: Z Records
         CatNumber.....: ZEDDCD018
         ripper....... : Team HFT
         encoder...... : Fhg
         source....... : WEB
         quality...... : 320 kbps / 44,1Hz / Stereo
         size......... : 339,10 MB
         playtime..... : 148:22 min
         url           : http://www.0daymusic.org






 01...Mirage - Summer Grooves                                                                             06:05
 02...Freeez - Keep in Touch                                                                              06:20
 03...China Burton - You Don't Care (About Our Love) (Joey Negro Edit)                                    08:09
 04...Breakfast Band - L.A. 14                                                                            07:09
 05...Hudson People - Trip to Your Mind                                                                   10:19
 06...Ritual - Sore Lip                                                                                   06:57
 07...The Warriors - Destination                                                                          07:06
 08...Savanna - Never Let You Go                                                                          06:06
 09...Stikki Stuff - the Wiggle                                                                           07:01
 10...Nigel Martinez - Better Things to Come (Joey Negro Edit)                                            04:53
 11...Surface Noise - Zero One                                                                            05:26
 12...52nd Street - Express                                                                               05:27
 13...Incognito - Parisienne Girl                                                                         06:14
 14...Mbt - You Know Too Much                                                                             05:22
 15...Elixia - Soho Phaze                                                                                 06:04
 16...Style X - No Secret Affair                                                                          06:03
 17...Leiah Ikafa - Disco 2000 (Joey Negro Edit)                                                          06:13
 18...The Antilles - Latin Dream                                                                          05:09
 19...Ransom Mckenzie & Friends - Orange Grove                                                            05:10
 20...Intrigue - I Like it                                                                                05:06
 21...The Cool Notes - I Wanna Dance                                                                      06:22
 22...Adrenalin - Feel the Reel (Instrumental)                                                            08:07
 23...Ed Bentley - Bentley Boogie                                                                         07:34
