Filename,Size,Unit
/Myself; Yourself - 01 - The Place of Memories.avi,170.96,M
/Myself; Yourself - 13 - Bonds.avi,170.81,M
/Myself; Yourself - 02 - The Important Melody.avi,170.8,M
/Myself; Yourself - 04 - I'm Not a Child.avi,170.79,M
/Myself; Yourself - 11 - Confession.avi,170.79,M
/Myself; Yourself - 09 - Do Your Best! Animenger!.avi,170.79,M
/Myself; Yourself - 12 - Red Memories.avi,170.79,M
/Myself; Yourself - 03 - Cookies and Pebbles.avi,170.79,M
/Myself; Yourself - 05 - The Unblooming Sakuras.avi,170.79,M
/Myself; Yourself - 07 - Teacher's Caramel.avi,170.78,M
/Myself; Yourself - 06 - I'm an Adult.avi,170.78,M
/Myself; Yourself - 08 - The Secret Mail Box.avi,170.77,M
/Myself; Yourself - 10 - For the Sakuras.avi,170.75,M
