DJ LEAK



                  P - R - E - S - E - N - T - S

                         VA-DJ Dane One-Me A Go Fi Mine Vol 2

     ARTiST..: VA
     ALBUM...: DJ Dane One-Me A Go Fi Mine Vol 2
     LABEL...: n/a
     GENRE...: Reggae
     TRACKS..: 62
     MODE....: Full Stereo
     BiTRATE.: 128kbps
     ENCODER.: Web
     SOURCE..: CDDA
     GRABBER.:
     RiPDATE.: Jul-28-2010
     STREET..: 000-00-0000




              T - R - A - C - K - L - I - S - T




   01 -Seanizzle-Generation Edge Riddim          [01:34]
   02 -Bounty Killer-God Will Always Be There    [02:07]
   03 -Black Ryno-Watch Ova Me                   [02:32]
   04 -Tony Matterhorn-Save U Soul               [01:35]
   05 -Mrg-Rice & Peas                           [00:59]
   06 -Mrg & Seanizzle-Chauffeur                 [01:14]
   07 -Iyara-Nuh Mek Di Devil Win                [00:59]
   08 -Tugzy Malone-We Nuh Have it               [01:36]
   09 -Versatile-Love Me Good                    [00:58]
   10 -Stacious-Have Dem Weak                    [01:27]
   11 -Ishamna-I Am Tha One                      [00:53]
   12 -Verizon-Premium Riddim                    [01:00]
   13 -Elephant Man-Just Cant Satisfy            [02:11]
   14 -Aidonia-Tell Me                           [01:25]
   15 -Chino-Affi Get A Gal                      [00:59]
   16 -Sanjay-Hard to Get                        [01:29]
   17 -Chevaughn-Keep it Blazing                 [01:15]
   18 -Craig-For You                             [02:00]
   19 -Hitmaker-Lover & Friend                   [01:35]
   20 -Alaine-New Love                           [01:17]
   21 -Cecile-Nuttn Betta Nuh Out Deh            [01:22]
   22 -Raine Seville-You Got A Girl Friend       [01:03]
   23 -Tessanne Chin-Love Again                  [01:15]
   24 -Universs-Dance for the Love               [01:07]
   25 -Version-Jim Screechie Riddim              [00:48]
   26 -Aidonia-Jack Hammer                       [01:53]
   27 -Beenie Man-Beat Dem Badd                  [01:22]
   28 -Tok-Everybody Clap                        [01:22]
   29 -Rdx-For the Girl                          [01:06]
   30 -Versatile-Hard Fi Find                    [01:15]
   31 -Joe-U Shoulda Know                        [01:30]
   32 -Kemikal-La La La                          [01:16]
   33 -Shanz-Closer                              [02:03]
   34 -Akane Feat Timberlee-Move                 [00:43]
   35 -Spice-Jim Screechie                       [00:29]
   36 -Verizon-Stage Mix Riddim                  [00:52]
   37 -Movado-Can T Believe                      [02:34]
   38 -Beenie Man-Pree We Fah                    [01:39]
   39 -Mad Cobra-Draw Me Out                     [01:19]
   40 -Stein-Kill Himself                        [01:01]
   41 -Wayne Marshall-The Future                 [01:01]
   42 -Tok-Weh Unnu Deh                          [00:51]
   43 -Flexxx-Call Mr Bruce                      [01:00]
   44 -Tiana-More Money                          [01:01]
   45 -Versatile-Country A Mash Up               [00:51]
   46 -DJ Liquid-Lifey                           [01:05]
   47 -Movado-Nuh Beg Gyal Friend                [02:13]
   48 -Bounty Killer-Real Gyallis                [01:20]
   49 -Chase Cross-Me Doh Know                   [00:51]
   50 -Lutah-Good Eeeh                           [01:39]
   51 -Kibaki-Gyallis Forever                    [01:02]
   52 -300-Style Dem                             [01:28]
   53 -Abajonai-Rock and Come                    [01:20]
   54 -Assailant-So Mi Roll Clean                [01:10]
   55 -Flawless-Through All                      [00:51]
   56 -Flexxi-Gyal Dem Way                       [01:01]
   57 -Gyalliance-Boss Fi Cheating               [00:42]
   58 -Iyara-A Me She Want                       [01:11]
   59 -Lutan Fyah-When Mi Shoob it               [00:51]
   60 -Marlon Binns-Your Sexy                    [00:43]
   61 -Nyrmon-Run to Di Camera                   [01:01]
   62 -Petta Ann-Oh Boy                          [01:40]



                                            Time:[79:56]min
                                            Size:[ 73,6]MB
