Season's Greetings 	 Arnold Schwarzenegger

Silent Night 	Chewbacca

Susanne 	Weezer

I Wanna Be a Lifeguard 	Blotto

Ben 	Crispin Glover

Framboise 	Boby Lapointe

Dominique 	The Singing Nun

The Sad Punk / Gigantic 	Pixies

Oruvan Oruvan 	SP Bala

Mah Na' Mah Na' 	Piero Umiliani

Super Bairam 	Borat's Theme

Bing Bang Bang 	Korki Buchek

We Want Your Soul 	Freeland

Cum On Feel The Noize 	Quiet Riot

Jerkin' Back 'N' Forth 	Devo

Ten Wheels for Jesus 	Elvis Hitler

Dead Souls 	Nine Inch Nails

What Is Life 	George Harrison

Washington 	Cox & Combes

Crazy Horses 	The Osmonds

Def Con One 	Pop Will Eat Itself

James Brown is Dead 	L.A. Style

Huddle Formation 	The Go! Team

Apache 	The Ventures

Who Loves Ya Baby? 	Telly Savalas 
