01 -Fruit Loops                               [04:47]
   02 -Str8 Drop                                 [04:10]
   03 -Racks                                     [02:52]
   04 -Cocaine Pure                              [03:15]
   05 -Get that Cash                             [03:13]
   06 -Swag Like Me                              [02:27]
   07 -Car Talk                                  [03:03]
   08 -Bow of Purp                               [01:50]
   09 -Barney                                    [03:12]
   10 -I'm Living it                             [02:05]
   11 -Wasted (Remix)                            [03:41]
   12 -Make 'em Holla                            [03:00]
   13 -Mount Up                                  [03:48]
   14 -The Mover                                 [03:59]
   15 -All Night, All Day                        [03:09]
   16 -Hands Itchin'                             [02:29]
   17 -Look at My Clock                          [03:27]
   18 -Jumpin' in Yo Lady                        [02:33]
   19 -Kitchen Music                             [03:07]
   20 -Put it on Me                              [04:15]
   21 -Keep it Hood (Remix)                      [02:45]
   22 -Gold Grill Shawty                         [03:34]
   23 -Stupid                                    [02:33]
   24 -Just Re'd Up                              [03:55]



                                            Time:[77:09]min
                                            Size:[112,2]MB
