Bob Dylan - Biograph - 3 CD Greatest Hits compilation - 320kbps
All songs tagged and imaged and organized in folders.
Enjoy....

Love
Uglysagi


Bitrate	Artist	Album	Title	Year	Track #
320	Bob Dylan	Biograph (Disc 1)	Lay Lady Lay	1985	01
320	Bob Dylan	Biograph (Disc 1)	Baby, Let Me Follow You Down	1985	02
320	Bob Dylan	Biograph (Disc 1)	If Not For You	1985	03
320	Bob Dylan	Biograph (Disc 1)	I'll Be Your Baby Tonight	1985	04
320	Bob Dylan	Biograph (Disc 1)	I'll Keep It With Mine	1985	05
320	Bob Dylan	Biograph (Disc 1)	The Times They Are A-Changin'	1985	06
320	Bob Dylan	Biograph (Disc 1)	Blowin' In The Wind	1985	07
320	Bob Dylan	Biograph (Disc 1)	Masters Of War	1985	08
320	Bob Dylan	Biograph (Disc 1)	Lonesome Death Of Hattie Carroll	1985	09
320	Bob Dylan	Biograph (Disc 1)	Percy's Song	1985	10
320	Bob Dylan	Biograph (Disc 1)	Mixed-Up Confusion	1985	11
320	Bob Dylan	Biograph (Disc 1)	Tombstone Blues	1985	12
320	Bob Dylan	Biograph (Disc 1)	Groom's Still Waiting At The Altar	1985	13
320	Bob Dylan	Biograph (Disc 1)	Most Likely You Go Your Way And I'll Go Mine	1985	14
320	Bob Dylan	Biograph (Disc 1)	Like A Rolling Stone	1985	15
320	Bob Dylan	Biograph (Disc 1)	Lay Down Your Weary Tune	1985	16
320	Bob Dylan	Biograph (Disc 1)	Subterranean Homesick Blues	1985	17
320	Bob Dylan	Biograph (Disc 1)	I Don't Believe You (She Acts Like We Never Have Met)	1985	18
320	Bob Dylan	Biograph (Disc 2)	Visions Of Johanna (Live)	1985	01
320	Bob Dylan	Biograph (Disc 2)	Every Grain Of Sand	1985	02
320	Bob Dylan	Biograph (Disc 2)	Quinn The Eskimo (The Mighty Quinn)	1985	03
320	Bob Dylan	Biograph (Disc 2)	Mr. Tambourine Man	1985	04
320	Bob Dylan	Biograph (Disc 2)	Dear Landlord	1985	05
320	Bob Dylan	Biograph (Disc 2)	It Ain't Me, Babe	1985	06
320	Bob Dylan	Biograph (Disc 2)	You Angel You	1985	07
320	Bob Dylan	Biograph (Disc 2)	Million Dollar Bash	1985	08
320	Bob Dylan	Biograph (Disc 2)	To Ramona	1985	09
320	Bob Dylan	Biograph (Disc 2)	You're A Big Girl Now	1985	10
320	Bob Dylan	Biograph (Disc 2)	Abandoned Love	1985	11
320	Bob Dylan	Biograph (Disc 2)	Tangled Up In Blue	1985	12
320	Bob Dylan	Biograph (Disc 2)	It's All Over Now, Baby Blue (Live)	1985	13
320	Bob Dylan	Biograph (Disc 2)	Can You Please Crawl Out Your Window	1985	14
320	Bob Dylan	Biograph (Disc 2)	Positively 4th Street	1985	15
320	Bob Dylan	Biograph (Disc 2)	Isis (Live)	1985	16
320	Bob Dylan	Biograph (Disc 2)	Jet Pilot	1985	17
320	Bob Dylan	Biograph (Disc 3)	Caribbean Wind	1985	1
320	Bob Dylan	Biograph (Disc 3)	Up To Me	1985	2
320	Bob Dylan	Biograph (Disc 3)	Baby, I'm In The Mood For You	1985	3
320	Bob Dylan	Biograph (Disc 3)	I Wanna Be Your Lover	1985	4
320	Bob Dylan	Biograph (Disc 3)	I Want You	1985	5
320	Bob Dylan	Biograph (Disc 3)	Heart Of Mine (Live)	1985	6
320	Bob Dylan	Biograph (Disc 3)	On A Night Like This	1985	7
320	Bob Dylan	Biograph (Disc 3)	Just Like A Woman	1985	8
320	Bob Dylan	Biograph (Disc 3)	Romance In Durango (Live)	1985	9
320	Bob Dylan	Biograph (Disc 3)	Se̱or (Tales Of Yankee Power)	1985	10
320	Bob Dylan	Biograph (Disc 3)	Gotta Serve Somebody	1985	11
320	Bob Dylan	Biograph (Disc 3)	I Believe In You	1985	12
320	Bob Dylan	Biograph (Disc 3)	Time Passes Slowly	1985	13
320	Bob Dylan	Biograph (Disc 3)	I Shall Be Released	1985	14
320	Bob Dylan	Biograph (Disc 3)	Knockin' On Heaven's Door	1985	15
320	Bob Dylan	Biograph (Disc 3)	All Along The Watchtower (Live)	1985	16
320	Bob Dylan	Biograph (Disc 3)	Solid Rock	1985	17
320	Bob Dylan	Biograph (Disc 3)	Forever Young	1985	18
