Las 500 mejores canciones de la historia segun la revista Rolling Stone

Formato: MP3
Bitrate: 192-320kbps
Peso: 2,81GB
Server:

001 Bob Dylan - Like A Rolling Stone 8,56mb
002 The Rolling Stones - (I Can't Get No) Satisfaction 8,57mb
003 John Lennon - Imagine 4,29mb
004 Marvin Gaye - Whats Going On 5,50mb
005 Aretha Franklin - Respect 3,46mb
006 The Beach Boys - Good Vibrations 8,42mb
007 Chuck Berry - Johnny B. Goode 6,26mb
008 The Beatles - Hey Jude 9,88mb
009 Nirvana - Smells Like Teen Spirit 6,97mb
010 Ray Charles - What'd I Say 8,03mb
011 The Who - My Generation 4,64mb
012 Sam Cooke - A Change Is Gonna Come 7,47mb
013 The Beatles - Yesterday 2,99mb
014 Bob Dylan - Blowin' In The Wind 3,93mb
015 The Clash - London Calling 4,65mb
016 The Beatles - I Want To Hold Your Hand 3,43mb
017 Jimi Hendrix - Purple Haze 3,98mb
018 Chuck Berry - Maybellene 5,51mb
019 Elvis Presley - Hound Dog 5,34mb
020 The Beatles - Let It Be 5,64mb
021 Bruce Springsteen - Born To Run 6,26mb
022 The Ronettes - Be My Baby 6,17mb
023 The Beatles - In My Life 3,46mb
024 The Impressions - People Get Ready 3,70mb
025 The Beach Boys - God Only Knows 6,68mb
026 The Beatles - A Day In The Life 7,72mb
027 Derek And The Dominos - Layla 13,0mb
028 Otis Redding - (Sittin' On) The Dock Of The Bay 3,37mb
029 The Beatles - Help! 3,30mb
030 Johnny Cash - I Walk The Line 3,87mb
031 Led Zeppelin - Stairway To Heaven 14,8mb
032 The Rolling Stones - Sympathy For The Devil 8,87mb
033 Ike And Tina Turner - River Deep Mountain High 5,14mb
034 Righteous Brothers - You've Lost That Lovin' Feelin' 5,23mb
035 The Doors - Light My Fire 13,1mb
036 U2 - One 10,6mb
037 Bob Marley - No Woman No Cry 5,25mb
038 The Rolling Stones - Gimme Shelter 6,41mb
039 Buddy Holly And The Crickets - That'll Be The Day 5,30mb
040 Martha Reeves And The Vandellas - Dancing In The Streets 3,69mb
041 The Band - The Weight 7,89mb
042 The Kinks - Waterloo Sunset 3,12mb
043 Little Richard - Tutti Frutti 2,85mb
044 Ray Charles - Georgia On My Mind 4,36mb
045 Elvis Presley - Heartbreak Hotel 4,95mb
046 David Bowie - Heroes 11,3mb
047 Simon & Garfunkel - Bridge Over Troubled Water 6,83mb
048 Jimi Hendrix - All Along The Watchtower 5,80mb
049 Eagles - Hotel California 9,00mb
050 Smokey Robinson & The Miracles - The Tracks Of My Tears 4,22mb
051 Grandmaster Flash and the Furious Five - The Message 4,50mb
052 Prince - When Doves Cry 5,30mb
053 Sex Pistols - Anarchy in the U.K. 4,92mb
054 Percy Sledge - When a Man Loves a Woman 6,84mb
055 The Kingsmen - Louie Louie 6,23mb
056 Little Richard - Long Tall Sally 3,02mb
057 Procol Harum - Whiter Shade of Pale 5,67mb
058 Michael Jackson - Billie Jean 6,81mb
059 Bob Dylan - The Times They Are a-Changin' 4,53mb
060 Al Green - Let's Stay Together 3,11mb
061 Jerry Lee Lewis - Whole Lotta Shakin' Goin On 4,00mb
062 Bo Diddley - Bo Diddley 4,42mb
063 Buffalo Springfield - For What It's Worth 6,16mb
064 The Beatles - She Loves You 3,31mb
065 Cream - Sunshine of Your Love 6,05mb
066 Bob Marley and the Wailers - Redemption Song 5,32mb
067 Elvis Presley - Jailhouse Rock 5,70mb
068 Bob Dylan - Tangled Up in Blue 7,88mb
069 Roy Orbison - Crying 3,92mb
070 Dionne Warwick - Walk on By 6,64mb
071 The Beach Boys - California Girls 6,43mb
072 James Brown - Papa's Got a Brand New Bag 2,99mb
073 Eddie Cochran - Summertime Blues 4,54mb
074 Stevie Wonder - Superstition 7,26mb
075 Led Zeppelin - Whole Lotta Love 7,73mb
076 The Beatles - Strawberry Fields Forever 5,81mb
077 Elvis Presley - Mistery Train 5,80mb
078 James Brown - I Got You (I Feel Good) 3,93mb
079 The Byrds - Mr. Tambourine Man 3,54mb
080 Marvin Gaye - I Heard It Through the Grapevine 4,47mb
081 Fats Domino - Blueberry Hill 2,33mb
082 The Kinks - You Really Got Me 3,12mb
083 The Beatles - Norwegian Wood (This Bird Has Flown) 2,95mb
084 The Police - Every Breath You Take 5,89mb
085 Patsy Cline - Crazy 3,82mb
086 Bruce Springsteen - Thunder Road 6,72mb
087 Johnny Cash - Ring of Fire 3,68mb
088 The Temptations - My Girl 5,47mb
089 The Mamas & the Papas - California Dreamin' 4,35mb
090 The Five Satins - In the Still of the Night 4,32mb
091 Elvis Presley - Suspicious Minds 17,6mb
092 Ramones - Blitzkrieg Bop 3,15mb
093 U2 - I Still Haven't Found What I'm Looking For 10,6mb
094 Little Richard - Good Golly, Miss Molly 3,64mb
095 Carl Perkins - Blue Suede Shoes 2,20mb
096 Jerry Lee Lewis - Great Balls of Fire! 2,59mb
097 Chuck Berry - Roll Over Beethoven 5,60mb
098 Al Green - Love and Happiness 7,48mb
099 Creedence Clearwater Revival - Fortunate Son 3,52mb
100 The Rolling Stones - You Can't Always Get What You Want 10,4mb
101 Jimi Hendrix - Voodoo Child (Slight Return) 7,53mb
102 Gene Vincent - Be Bop A Lula 3,60mb
103 Donna Summer - Hot Stuff 6,73mb
104 Stevie Wonder - Living For The City 5,99mb
105 Simon & Garfunkel - The Boxer 7,15mb
106 Bob Dylan - Mr. Tambourine Man 7,58mb
107 Buddy Holly And The Crickets - Not Fade Away 5,51mb
108 Prince - Little Red Corvette 5,74mb
109 Van Morrison - Brown Eyed Girl 4,62mb
110 Otis Redding - I've Been Loving You Too Long 6,84mb
111 Hank Williams - I'm So Lonesome I Could Cry 3,94mb
112 Elvis Presley - That's All Right 4,57mb
113 The Drifters - Up On The Roof 6,14mb
114 The Crystals - Da Doo Ron Ron (When He Walked Me Home) 2,25mb
115 Sam Cooke - You Send Me 6,38mb
116 The Rolling Stones - Honky Tonk Women 4,35mb
117 Al Green - Take Me to the River 6,94mb
118 The Isley Brothers - Shout (Parts 1 and 2) 6,22mb
119 Fleetwood Mac - Go Your Own Way 5,06mb
120 The Jackson Five - I Want You Back 5,22mb
121 Ben E. King - Stand By Me 4,36mb
122 The Animals - House of the Rising Sun 6,25mb
123 James Brown - It's a Man's Man's Man's World 3,90mb
124 The Rolling Stones - Jumpin' Jack Flash 5,23mb
125 The Shirelles - Will You Love Me Tomorrow 3,63mb
126 Big Joe Turner - Shake, Rattle & Roll 4,16mb
127 David Bowie - Changes 5,05mb
128 Chuck Berry - Rock & Roll Music 5,94mb
129 Steppenwolf - Born to Be Wild 4,88mb
130 Rod Stewart - Maggie May 7,34mb
131 U2 - With or Without You 11,3mb
132 Bo Diddley - Who Do You Love 3,51mb
133 The Who - Won't Get Fooled Again 14,5mb
134 Wilson Pickett - In the Midnight Hour 4,11mb
135 The Beatles - While My Guitar Gently Weeps 6,60mb
136 Elton John - Your Song 5,69mb
137 The Beatles - Eleanor Rigby 3,00mb
138 Sly & the Family Stone - Family Affair 4,30mb
139 The Beatles - I Saw Her Standing There 4,10mb
140 Led Zeppelin - Kashmir 11,7mb
141 The Everly Brothers - All I Have to Do Is Dream 3,39mb
142 James Brown - Please, Please, Please 3,87mb
143 Prince - Purple Rain 10,0mb
144 Ramones - I Wanna Be Sedated 3,69mb
145 Sly & the Family Stone - Everyday People 3,33mb
146 The B-52's - Rock Lobster 6,81mb
147 Iggy Pop - Lust for Life 8,56mb
148 Janis Joplin - Me and Bobby McGee 8,34mb
149 The Everly Brothers - Cathy's Clown 3,44mb
150 The Byrds - Eight Miles High 6,33mb
151 The Penguins - Earth Angel 4,17mb
152 Jimi Hendrix - Foxey Lady 4,62mb
153 The Beatles - A Hard Day's Night 3,57mb
154 Buddy Holly and the Crickets - Rave On 4,27mb
155 Creedence Clearwater Revival - Proud Mary 4,40mb
156 Simon and Garfunkel - The Sounds of Silence 5,68mb
157 The Flamingos - I Only Have Eyes for You 4,41mb
158 Bill Haley and His Comets - (We're Gonna) Rock Around the Clock 2,99mb
159 The Velvet Underground - I'm Waiting for the Man 6,48mb
160 Public Enemy - Bring the Noise 5,18mb
161 Ray Charles - I Can't Stop Loving You 5,26mb
162 Sin̩ad O'Connor - Nothing Compares 2 U 9,56mb
163 Queen - Bohemian Rhapsody 13,6mb
164 Johnny Cash - Folsom Prison Blues 3,86mb
165 Tracy Chapman - Fast Car 7,10mb
166 Eminem - Lose Yourself 7,41mb
167 Marvin Gaye - Let's Get It On 7,69mb
168 The Temptations - Papa Was a Rollin' Stone 12,2mb
169 R.E.M. - Losing My Religion 6,23mb
170 Joni Mitchell - Both Sides Now 7,83mb
171 ABBA - Dancing Queen 5,37mb
172 Aerosmith - Dream On 6,14mb
173 The Sex Pistols - God Save the Queen 4,65mb
174 The Rolling Stones - Paint It, Black 5,33mb
175 The Bobby Fuller Four - I Fought The Law 3,90mb
176 The Beach Boys - Don't Worry Baby 6,53mb
177 Tom Petty - Free Fallin' 7,37mb
178 Big Star - September Gurls 4,59mb
179 Joy Division - Love Will Tear Us Apart 5,38mb
180 Outkast - Hey Ya! 5,46mb
181 Booker T. and the MG's - Green Onions 4,97mb
182 The Drifters - Save the Last Dance for Me 4,23mb
183 B.B. King - The Thrill Is Gone 7,51mb
184 The Beatles - Please Please Me 2,90mb
185 Bob Dylan - Desolation Row 15,7mb
186 Aretha Franklin - I Never Loved a Man (The Way I Love You) 5,10mb
187 AC/DC - Back in Black 6,99mb
188 Creedence Clearwater Revival - Who'll Stop the Rain 3,96mb
189 The Bee Gees - Stayin' Alive 6,66mb
190 Bob Dylan - Knockin' on Heaven's Door 3,57mb
191 Lynyrd Skynyrd - Free Bird 12,6mb
192 Glen Campbell - Wichita Lineman 4,35mb
193 The Drifters - There Goes My Baby 4,10mb
194 Buddy Holly - Peggy Sue 3,51mb
195 The Chantels - Maybe 5,32mb
196 Guns N' Roses - Sweet Child O' Mine 8,23mb
197 Elvis Presley - Don't Be Cruel 4,81mb
198 Jimi Hendrix - Hey Joe 4,88mb
199 Parliament - Flash Light 10,5mb
200 Beck - Loser 5,47mb
201 New Order - Bizarre Love Triangle 6,07mb
202 The Beatles - Come Together 6,04mb
203 Bob Dylan - Positively 4th Street 5,46mb
204 Otis Redding - Try a Little Tenderness 5,05mb
205 Bill Withers - Lean On Me 7,55mb
206 The Four Tops - Reach Out, I'll Be There 4,11mb
207 The Everly Brothers - Bye Bye Love 3,38mb
208 Them - Gloria 4,31mb
209 The Beach Boys - In My Room 3,16mb
210 ? and the Mysterians - 96 Tears 4,13mb
211 The Beach Boys - Caroline, No 3,27mb
212 Prince - 1999 5,06mb
213 Hank Williams - Your Cheatin' Heart 3,80mb
214 Neil Young - Rockin' in the Free World 6,55mb
215 The Chords - Sh-Boom 3,44mb
216 The Lovin' Spoonful - Do You Believe In Magic 3,02mb
217 Dolly Parton - Jolene 3,95mb
218 John Lee Hooker - Boom Boom 4,60mb
219 Howlin' Wolf - Spoonful 3,84mb
220 The Left Banke - Walk Away Renee 3,80mb
221 Lou Reed - Walk on the Wild Side 5,79mb
222 Roy Orbison - Oh, Pretty Woman 4,96mb
223 Sly & the Family Stone - Dance to the Music 4,19mb
224 Chic - Good Times 11,4mb
225 Muddy Waters - Hoochie Coochie Man 3,37mb
226 Van Morrison - Moondance 6,41mb
227 James Taylor - Fire and Rain 5,04mb
228 The Clash - Should I Stay or Should I Go 4,38mb
229 Muddy Waters - Mannish Boy 3,59mb
230 Bob Dylan - Just Like a Woman 6,73mb
231 Marvin Gaye - Sexual Healing 6,21mb
232 Roy Orbison - Only the Lonely 3,50mb
233 The Animals - We Gotta Get Out of This Place 4,49mb
234 The Byrds - I'll Feel a Whole Lot Better 4,00mb
235 Ray Charles - I Got a Woman 3,55mb
236 Buddy Holly and the Crickets - Everyday 2,99mb
237 Afrika Bambaataa and the Soul Sonic Force - Planet Rock 7,42mb
238 Patsy Cline - I Fall to Pieces 3,92mb
239 Dion - The Wanderer 3,80mb
240 Dusty Springfield - Son of a Preacher Man 3,45mb
241 Sly & the Family Stone - Stand! 4,35mb
242 Elton John - Rocket Man 6,61mb
243 The B-52's - Love Shack 12,3mb
244 The Spencer Davis Group - Gimme Some Lovin' 5,38mb
245 The Band - The Night They Drove Old Dixie Down 5,93mb
246 Jackie Wilson - (Your Love Keeps Lifting Me) Higher and Higher 5,48mb
247 Sly & the Family Stone - Hot Fun in the Summertime 3,70mb
248 The Sugarhill Gang - Rappers Delight 7,03mb
249 Aretha Franklin - Chain of Fools 5,17mb
250 Black Sabbath - Paranoid 4,34mb
251 Bobby Darin - Mack the Knife 7,90mb
252 The Drifters - Money Honey 4,52mb
253 Mott the Hoople - All the Young Dudes 4,93mb
254 AC/DC - Highway to Hell 4,83mb
255 Blondie - Heart of Glass 6,55mb
256 Radiohead - Paranoid Android 11,7mb
257 The Troggs - Wild Thing 3,62mb
258 The Who - I Can See for Miles 6,60mb
259 Jeff Buckley - Hallelujah 9,53mb
260 The Dells - Oh, What a Night 4,02mb
261 Stevie Wonder - Higher Ground 6,07mb
262 Smokey Robinson - Ooo Baby Baby 3,05mb
263 The Crystals - He's a Rebel 3,01mb
264 Randy Newman - Sail Away 4,01mb
265 Archie Bell and the Drells - Tighten Up 3,85mb
266 The Ronettes - Walking in the Rain 4,56mb
267 New York Dolls - Personality Crisis 5,18mb
268 U2 - Sunday Bloody Sunday 7,50mb
269 The Modern Lovers - Roadrunner 5,70mb
270 George Jones - He Stopped Loving Her Today 7,71mb
271 The Beach Boys - Sloop John B 6,91mb
272 Chuck Berry - Sweet Little Sixteen 7,09mb
273 The Beatles - Something 4,26mb
274 Jefferson Airplane - Somebody to Love 4,43mb
275 Bruce Springsteen - Born in the U.S.A. 7,33mb
276 The Staple Singers - I'll Take You There 7,83mb
277 David Bowie - Ziggy Stardust 4,50mb
278 The Cure - Pictures of You 10,3mb
279 The Dixie Cups - Chapel of Love 3,98mb
280 Bill Withers - Ain't No Sunshine 3,63mb
281 Stevie Wonder - You Are the Sunshine of My Life 4,84mb
282 Joni Mitchell - Help Me 6,25mb
283 Blondie - Call Me 5,62mb
284 Elvis Costello and the Attractions - (What's So Funny 'Bout) Peace Love and Understanding? 5,67mb
285 Howlin' Wolf - Smoke Stack Lightning 4,39mb
286 Pavement - Summer Babe 4,56mb
287 Run-DMC - Walk This Way 7,19mb
288 Barrett Strong - Money (That's What I Want) 3,68mb
289 The Beatles - Can't Buy Me Love 3,16mb
290 Eminem (featuring Dido) - Stan 9,32mb
291 The Zombies - She's Not There 3,47mb
292 The Clash - Train in Vain 4,41mb
293 Al Green - Tired of Being Alone 2,57mb
294 Led Zeppelin - Black Dog 9,14mb
295 The Rolling Stones - Street Fighting Man 4,62mb
296 Bob Marley and the Wailers - Get Up, Stand Up 4,40mb
297 Neil Young - Heart of Gold 4,36mb
298 Blondie - One Way or Another 5,43mb
