01 -Serani-She Loves Me                       [03:16]
   02 -Alaine & Chino-Me & You                   [01:48]
   03 -Bounty Killer-Gaza Fag & Drag             [02:30]
   04 -Opal-Rock the Chair                       [01:31]
   05 -Tony Matterhorn-Christmas in Ja           [01:46]
   06 -Elephant Man-Rubba Bounce                 [02:02]
   07 -Baby Chris-Rucum Cum                      [01:41]
   08 -Mr. Vegas-Mr Prezident                    [02:22]
   09 -Serani-Romance                            [02:55]
   10 -Elephant Man-Bad Man Christmas            [01:26]
   11 -Mavado-Gal Ova Fun                        [01:56]
   12 -Busy Signal-Pon De Pole                   [01:30]
   13 -Belly Feat Serani-Hot Girl Remix          [01:42]
   14 -Ding Dong-Glory Days                      [01:31]
   15 -Tornado-We A Party                        [01:27]
   16 -Mr Easy-All About the G'z                 [01:29]
   17 -Assailant-I'm Crazy                       [02:54]
   18 -Bounty Killer-Warlord Attack Again        [01:27]
   19 -Bling Dawg-Girls,girls,girls              [01:51]
   20 -D'angel-Hot Gyal                          [01:29]
   21 -Capleton-Fire Bon Obeah                   [01:24]
   22 -Junior Reid-Crazy                         [01:24]
   23 -Bugle-Badmind People                      [01:37]
   24 -Beenie Man-Gaza Mi Say                    [01:41]
   25 -Vybz Kartel-Warmer than A Comforter       [01:36]
   26 -Bounty Killer-Bore Tongue Fag             [01:43]
   27 -Sizzla-Bawl Already                       [01:19]
   28 -Ding Dong-Party Cup                       [01:24]
   29 -Tornado-Rave Everynight                   [01:47]
   30 -Mavado-War is in the Air                  [01:50]
   31 -Vybz Kartel-Brace of Mi Life              [01:19]
   32 -Elephant Man-Wine Up Yu Waist             [01:58]
   33 -Busy Signal-Question                      [01:22]
   34 -Lisa Hype-Bleaching Fit Me                [02:01]
   35 -Munga-Nug Man                             [01:22]
   36 -T.O.K-Gal Liad                            [01:45]
   37 -Vybz Kartel-Mi Loving it                  [01:20]
   38 -Elephant Man-Louw We Out                  [01:31]
   39 -Mr Vegas-Dance Floor                      [01:27]
   40 -Timberlee-Champaign Money                 [01:30]
   41 -Capleton-Dem Bun Up                       [01:29]
   42 -Tifa-A Who Go Luu                         [01:29]
   43 -Lisa Hype-Proud Ah Mi Bleaching           [01:26]
   44 -Merital Family-Faster Money               [01:17]
   45 -Vybz Kartel-Can't Get Ova Mi              [01:37]
   46 -Beenie Man-Whine                          [01:21]
   47 -Bounty Killer-Crosser than Ever           [01:24]
   48 -Sizzla-Whine Up                           [02:04]
   49 -Vybz Kartel-Gogo Club Part 2              [01:36]
   50 -Bounty Killer-Money Maker                 [02:11]
   51 -Million Styles & Joey Fever-Young Gunz    [02:38]



                                            Time:[88:25]min
                                            Size:[117,7]MB

