Artist.......: VA
Album........: New Caledonia - Voices of the shores and mountains
Label........: Buda records / Universal
Genre........: Folk
Catnr........: n/a
source.......: CDDA
rip.date.....: 18-05-2010
str.date.....: 00-00-2010
quality......: VBR/44,1Hz/Joint-Stereo
Url..........: n/a

track  title                                          time

 01.    - soo re maradi                              04:08
 02.    - dee ma xwa bwara                           05:46
 03.    - sofanyi mwarogu                            02:57
 04.    - adieu gwenwa noel                          02:16
 05.    - mine ema                                   01:51
 06.    - soo re wake ke atai                        00:57
 07.    - pwopwop                                    02:29
 08.    - fwa nyiniami ngen vahi                     02:14
 09.    - veli ganguc                                02:42
 10.    - apetau                                     03:30
 11.    - hmeda cuut                                 03:27
 12.    - popai goro upwara                          02:21
 13.    - weyaya weyaya                              02:52
 14.    - weyaya weyaya                              02:29
 15.    - kabuka kurukwii                            00:17
 16.    - mere                                       01:05
 17.    - yoo we mwacada maria                       02:14
 18.    - bebenoda cingonegon                        00:52
 19.    - dru dru mwa tuna ge pwa xoro               09:58
 20.    - naa venyare                                04:59
 21.    - naa vene                                   01:27
 22.    - wejein                                     05:21

                                            Runtime  66:12 min
                                            Size     84,4 MB
