
   01 -Tes-Intro                                 [01:43]
   02 -Beyonce-Speechless                        [02:30]
   03 -R. Kelly-Naked                            [02:34]
   04 -R. Kelly-Like A Real Freak                [01:52]
   05 -R. Kelly-The Greatest Sex                 [01:22]
   06 -Isley Brothers-What Would You Do Pt.2     [02:18]
   07 -R. Kelly-Bump N Grind                     [01:17]
   08 -Montell Jordan-Let's Ride                 [02:01]
   09 -Ruff Endz-Kamasutra                       [02:01]
   10 -R. Kelly-R&B Thug                         [01:59]
   11 -R. Kelly-Ignition                         [01:18]
   12 -R. Kelly-Ignition [remix]                 [00:42]
   13 -Kc & Jojo-All My Life                     [02:36]
   14 -R. Kelly-In Da Kitchen                    [00:48]
   15 -Notorious B-Fuckin' You Tonight           [02:23]
   16 -Akinyele Featu-Fuck Me for Free           [01:29]
   17 -One Night-One Night                       [02:09]
   18 -Black Street-No Diggity                   [01:53]
   19 -P. Diddy Feat. India-Se̱orita             [01:18]
   20 -Tevin Campbell-Can We Talk                [01:19]
   21 -Lauryn Hill-Too Good to Be True           [01:36]
   22 -Usher-Can U Handle it                     [01:28]
   23 -Usher-Superstar                           [01:08]
   24 -Aaliyah-At Your Best                      [01:54]
   25 -Az Yet-Last Night                         [01:11]
   26 -Swv-Downtown                              [01:13]
   27 -Destiny's Child-No No No                  [01:39]
   28 -Mary J. Blige Featuring-It's on           [03:12]
   29 -Genuwine-Love You More                    [03:15]
   30 -Jagged Edge-I Gotta Be                    [01:19]
   31 -Changing Faces-Stroke You Up              [01:51]
   32 -Avant-Read Your Mind                      [02:28]
   33 -Avant-Makin' Good Love                    [01:47]
   34 -Avant-Say Yes                             [00:56]
   35 -Luther Vandross-Here and Now              [02:04]
   36 -Al Green-Let's Stay Together              [01:51]
   37 -Marvin Gaye-Sexual Healing                [01:08]
   38 -Carl Thomas-She is                        [01:11]
   39 -Color Me Bad-I Wanna Sex You Up           [01:02]
   40 -D'angelo-Untitled                         [02:14]
   41 -Mariah Carey-My All                       [01:21]
   42 -112-Let Me                                [07:00]



                                            Time:[78:20]min
                                            Size:[ 90,0]MB
