Hard to find and rare version of the 1993 album "Size" including a hidden song in track 12 known as "Decadance Hidden Mix"
A second extra folder includes all the singles from this album, rare songs and remixes and all their productions known from 1993.

Please if you like torrents like this, leave your comments.
And seed...

General Information
===================
 Title:                  Size Isn't Everything (Rare Hiidden Track Version + Extra CD)
 Author:                 Bee Gees
 Copyright:              1993
 Genre:                  Pop

Original Media Information
==========================

File Information
================
 Number of MP3s:         38
 Total Duration:         3:25:11
 Total MP3 Size:         283,35 MB
 Files Created on:       14-oct-2010  20:35:16
 Encoded At:             CBR 128 kbit/s 44 KHz Joint Stereo
 ID3 Tags:               Set, v1.1, v2.3
 Cover Image present:    YES
 Cover Image:            Bee Gees - Size Isn't Everything - Back.jpg
 NFO Created:            16-oct-2010  10:21:58
 
Posting
=======
 Posting date:           16-oct-2010

MP3 File List
=============
     Size MB  Duration  File Name
01      5,78  0:04:11   01 - Bee Gees - Paying The Price Of Love.mp3
02      5,89  0:04:16   02 - Bee Gees - Kiss Of Life.mp3
03      8,25  0:05:59   03 - Bee Gees - How To Fall In Love Part 1.mp3
04      5,52  0:04:00   04 - Bee Gees - Omega Man.mp3
05      7,92  0:05:45   05 - Bee Gees - Haunted House.mp3
06      6,48  0:04:42   06 - Bee Gees - Heart Like Mine.mp3
07      6,43  0:04:40   07 - Bee Gees - Anything For You.mp3
08      4,57  0:03:18   08 - Bee Gees - Blue Island.mp3
09      6,21  0:04:30   09 - Bee Gees - Above And Beyond.mp3
10      7,03  0:05:06   10 - Bee Gees - For Whom The Bell Tolls.mp3
11      6,25  0:04:32   11 - Bee Gees - Fallen Angel.mp3
12     15,18  0:11:02   12 - Bee Gees - Decadance (Including Hidden Mix).mp3
13      5,81  0:04:13   01 - Bee Gees - How To Fall In Love Part 1 (Edit).mp3
14      8,06  0:05:51   02 - Bee Gees - Decadance (Club Mix).mp3
15      5,46  0:03:58   03 - Bee Gees - For Whom The Bell Tolls (Edit).mp3
16      8,49  0:06:11   04 - Bee Gees - Paying The Price Of Love (Jellybean Mix #1).mp3
17     13,08  0:09:31   05 - Bee Gees - Decadance (Classic House Mix).mp3
18      8,45  0:06:09   06 - Bee Gees - Paying The Price Of Love (Jellybean Mix #1 Dub).mp3
19      7,87  0:05:43   07 - Bee Gees - Decadance (Vocal Mix).mp3
20      5,70  0:04:08   08 - Bee Gees - Paying The Price Of Love (Jellybean Mix #1 Edit).mp3
21      8,91  0:06:29   09 - Bee Gees - 855 7019.mp3
22      8,53  0:06:12   10 - Bee Gees - Paying The Price Of Love (The Ocean Drive Mix).mp3
23      9,86  0:07:10   11 - Bee Gees - Fallen Angel [Remix].mp3
24      5,57  0:04:03   12 - Bee Gees - Paying The Price Of Love (AC Mix).mp3
25      4,95  0:03:36   13 - Bee Gees - My Destiny.mp3
26      5,81  0:04:13   14 - Bee Gees - Paying The Price Of Love (7'' Mix).mp3
27      6,23  0:04:31   15 - Bee Gees - Decadance (Hidden Mix).mp3
28      8,83  0:06:25   16 - Bee Gees - Paying The Price Of Love (KC Mix).mp3
29     11,02  0:08:01   17 - Bee Gees - Decadance (Deep Dub Mix).mp3
30      8,25  0:06:00   18 - Bee Gees - Paying The Price Of Love (The Classic House Instrumental Mix).mp3
31      7,39  0:05:22   19 - Lulu Feat. Barry Gibb - Let Me Wake Up In Your Arms (Frankie Knuckles Classic Mix).mp3
32      6,19  0:04:30   20 - Lulu Feat. Barry Gibb - Let Me Wake Up In Your Arms.mp3
33      7,25  0:05:16   21 - Lulu Feat. Barry Gibb - Let Me Wake Up In Your Arms (Frankie Knuckles Romantic Reprise).mp3
34      5,46  0:03:57   22 - Kelli Wolfe Feat. Maurice & Barry Gibb - Eyes (Edit Version).mp3
35      6,45  0:04:40   23 - Kelli Wolfe Feat. Maurice & Barry Gibb - Born To Be Loved By You.mp3
36     10,73  0:04:40   24 - Kelli Wolfe Feat. Maurice & Barry Gibb - Eyes (Extended Mix).mp3
37      6,38  0:04:36   25 - Kelli Wolfe Feat. Maurice & Barry Gibb - Eyes (Album Version).mp3
38      7,11  0:07:45   26 - Bee Gees - DMC Megamix (Ben Liebrand).mp3
