        Lengte	Bitwaarde	Artiest	Titel
*1	02:00	320	Ricky King	2 Gitarren am Meer
*2	03:11	320	Ricky King	A Song For Malaika
*3	04:03	320	Ricky King	A Song Of Joy
*4	03:28	320	Ricky King	Abendglocken
*5	03:07	320	Ricky King	Abschiedslied
*6	03:16	320	Ricky King	Adieu Cherie
*7	04:02	320	Ricky King	Ahoi,Ay Ay Capt'n
*8	03:09	320	Ricky King	Albatross
*9	02:39	320	Ricky King	Alexis Sorbas
*10	04:14	320	Ricky King	Alhambra
*11	02:57	320	Ricky King	Olleria Hoho
*12	03:35	320	Ricky King	Aloha oe
*13	01:55	320	Ricky King	Amapola
*14	02:08	320	Ricky King	Amazing Grace
*15	03:03	320	Ricky King	Amorada
*16	03:06	320	Ricky King	Anita
*17	02:44	320	Ricky King	Annabella
*18	02:45	320	Ricky King	apache
*19	04:57	320	Ricky King	Aranjuez Melodie
*20	03:19	320	Ricky King	Argentina
*21	03:00	320	Ricky King	Aria
*22	02:57	320	Ricky King	Atlantis
*23	03:52	320	Ricky King	Ave Maria
*24	02:31	320	Ricky King	Black Eyes
*25	03:31	320	Ricky King	Blue Flames
*26	02:45	320	Ricky King	Blue Hawaii
*27	03:40	320	Ricky King	Blue moonlight
*28	02:53	320	Ricky King	Blue star
*29	02:55	320	Ricky King	Blueberry Hill
*30	01:59	320	Ricky King	Bonanza
*31	02:58	320	Ricky King	Brasilia
*32	02:16	320	Ricky King	Butterfly
*33	04:03	320	Ricky King	California Blue
*34	02:49	320	Ricky King	Clementine
*35	03:04	320	Ricky King	Companeros
*36	03:20	320	Ricky King	Cordoba
*37	03:19	320	Ricky King	Dancin in The Moonlight
*38	03:05	320	Ricky King	Das Lied Von Tod
*39	03:18	320	Ricky King	David's Song
*40	02:16	320	Ricky King	Delilah
*41	03:30	320	Ricky King	DENISE,MON AMOUR
*42	03:30	320	Ricky King	DENISE,MON AMOUR
*43	02:30	320	Ricky King	Desperado
*44	02:55	320	Ricky King	DESTINO
*45	03:22	320	Ricky King	Die Moldau
*46	03:20	320	Ricky King	Down by the Riverside
*47	03:19	320	Ricky King	Duwaiyana
*48	03:03	320	Ricky King	Ein Schiff wird kommen
*49	03:00	320	Ricky King	El Condor Pasa
*50	02:56	320	Ricky King	Eleni
*51	03:49	320	Ricky King	Exodus
*52	03:59	320	Ricky King	Fantasia
*53	03:38	320	Ricky King	Fernando
*54	03:18	320	Ricky King	FEUER DER NACHT
*55	03:19	320	Ricky King	Feuer und Eis
*56	03:03	320	Ricky King	Fiesta Mexicana
*57	03:22	320	Ricky King	Flower of paradise
*58	03:35	320	Ricky King	Fly With Me To Malibu
*59	03:44	320	Ricky King	Frei das heiÃŸt allein
*60	03:44	320	Ricky King	Frei das heiÃŸt allein
*61	02:23	320	Ricky King	Fur Elise(Beethoven)
*62	03:05	320	Ricky King	Ganz in weiss
*63	02:05	320	Ricky King	Ghost Riders In The Sky
*64	02:01	320	Ricky King	Gitarren am Meer
*65	03:27	320	Ricky King	Golden Gate
*66	03:38	320	Ricky King	Gondola D`amore
*67	03:08	320	Ricky King	Goodbye My Love Goodbye
*68	02:18	320	Ricky King	Guitar Boogie Shuffle
*69	02:57	320	Ricky King	Guitar Tango
*70	03:11	320	Ricky King	Hale - Ole
*71	03:21	320	Ricky King	Hale, Hey Louise
*72	02:31	320	Ricky King	Happy Guitar
*73	02:50	320	Ricky King	Hava Nagila
*74	02:49	320	Ricky King	Hawaii Tattoo
*75	03:56	320	Ricky King	Luau Hula
*76	03:23	320	Ricky King	Hello Hello-A
*77	03:14	320	Ricky King	Herzensmelodie
*78	03:14	320	Ricky King	Hey, Aloha-Lady
*79	02:20	320	Ricky King	Hey, Cangaceiro
*80	03:59	320	Ricky King	High Noon
*81	02:55	320	Ricky King	Hochzeitstag
*82	03:02	320	Ricky King	Holzschuhpolka
*83	03:01	320	Ricky King	Huricane
*84	03:20	320	Ricky King	Il Vento
*85	03:40	320	Ricky King	Insel der TrÃ¤ume
*86	02:20	320	Ricky King	Jamaica Farewell
*87	02:13	320	Ricky King	Yambalaya
*88	02:24	320	Ricky King	Java Guitar
*89	02:52	320	Ricky King	Johnny Guitar
*90	02:02	320	Ricky King	Kalinka
*91	02:47	320	Ricky King	La Bamba
*92	03:09	320	Ricky King	La Corrida
*93	02:25	320	Ricky King	La Cuccaracha
*94	02:48	320	Ricky King	La Golondrina
*95	02:49	320	Ricky King	La Montanara
*96	03:23	320	Ricky King	La Paloma
*97	04:18	320	Ricky King	La Rose Noire
*98	03:34	320	Ricky King	Lambada
*99	03:53	320	Ricky King	Le reve
*100	03:48	320	Ricky King	Le rÃ©ve
*101	03:26	320	Ricky King	Legend
*102	04:05	320	Ricky King	LITTLE LOVE
*103	03:08	320	Ricky King	Lotos Blume
*104	02:27	320	Ricky King	Love Me Tender
*105	02:39	320	Ricky King	Love Story
*106	02:41	320	Ricky King	MAGIC GUITAR
*107	03:08	320	Ricky King	Maid Of Orleans
*108	03:55	320	Ricky King	Mamy Blue
*109	03:41	320	Ricky King	Mare
*110	03:55	320	Ricky King	Maria Helena
*111	03:55	320	Ricky King	Maria Helena
*112	02:38	320	Ricky King	Massachusetts
*113	02:12	320	Ricky King	Medley: Yesterday
*114	02:19	320	Ricky King	Memphis Tennessee
*115	02:43	320	Ricky King	Mendocino
*116	02:47	320	Ricky King	Midnight
*117	02:57	320	Ricky King	Mitternacht in Moskau
*118	02:49	320	Ricky King	Moewenflug
*119	03:22	320	Ricky King	Moldau
*120	03:01	320	Ricky King	Monkey Dance
*121	03:24	320	Ricky King	Moonlight Melody
*122	03:03	320	Ricky King	Moonlight
*123	02:49	320	Ricky King	Movenflug
*124	02:34	320	Ricky King	My Bonnie
*125	03:49	320	Ricky King	My Danny Boy
*126	03:02	320	Ricky King	MYKONOS GOODBYE
*127	02:35	320	Ricky King	Nabucco
*128	03:26	320	Ricky King	Only You
*129	02:56	320	Ricky King	PANTHETIQUE
*130	03:12	320	Ricky King	Paradiso
*131	03:11	320	Ricky King	Pink Cadillac
*132	03:43	320	Ricky King	Plaisir d'amour
*133	03:20	320	Ricky King	Please Release Me
*134	03:04	320	Ricky King	Pony Express
*135	02:49	320	Ricky King	Popcorn
*136	03:08	320	Ricky King	Primavera
*137	02:19	320	Ricky King	Quatermaster stores
*138	02:11	320	Ricky King	Red River Rock
*139	03:10	320	Ricky King	RIO GRANDE
*140	02:54	320	Ricky King	Rivers Of Babylon (Instrumenta
*141	02:01	320	Ricky King	Rock And Roll Music
*142	02:12	320	Ricky King	Rock Around The Clock
*143	03:37	320	Ricky King	ROMANCE
*144	01:38	320	Ricky King	Romantic Guitar
*145	03:25	320	Ricky King	Russland-Melodien Medley (Aben
*146	02:38	320	Ricky King	SÃ¤beltanz
*147	02:53	320	Ricky King	SAIL ALONG SILV'RY
*148	03:08	320	Ricky King	Samba pa ti
*149	02:18	320	Ricky King	Memphis, Tennessee
*150	02:47	320	Ricky King	Santiago
*151	02:37	320	Ricky King	Schiwago-Melodie
*152	02:09	320	Ricky King	Shake, Rattle & Roll
*153	03:00	320	Ricky King	Sieben Tage (Instr.)
*154	03:41	320	Ricky King	Silbermond
*155	03:45	320	Ricky King	Silver Beach
*156	03:42	320	Ricky King	Skinny Minnie
*157	02:51	320	Ricky King	Sleep Walk
*158	02:06	320	Ricky King	Sloop John B.
*159	04:03	320	Ricky King	A Song Of Joy
*160	03:00	320	Ricky King	Song Song Blue
*161	02:55	320	Ricky King	Spanish Eyes
*162	03:12	320	Ricky King	Spanish Harlem
*163	02:59	320	Ricky King	Stella De Mare
*164	03:20	320	Ricky King	STERNENFEUER
*165	03:22	320	Ricky King	Storm Rider
*166	03:19	320	Ricky King	Strasse der Sehnsucht
*167	02:56	320	Ricky King	SUMMER PARTY
*168	03:39	320	Ricky King	SUMMERNIGHTS IN RHODOS
*169	03:28	320	Ricky King	Sun Of Jamaica
*170	02:38	320	Ricky King	Teddy Bear
*171	03:23	320	Ricky King	Telstar
*172	03:05	320	Ricky King	The House Of The Rising Sun
*173	01:59	320	Ricky King	The Joker
*174	03:47	320	Ricky King	The Jolly Song
*175	03:01	320	Ricky King	This Ol House
*176	02:32	320	Ricky King	Ti Amo
*177	03:03	320	Ricky King	TrÃ¤nen lÃ¼gen nicht
*178	03:14	320	Ricky King	Traumerei
*179	03:08	320	Ricky King	Traummelodie
*180	03:16	320	Ricky King	Tropical Nights
*181	01:59	320	Ricky King	King, Ricky
*182	02:00	320	Ricky King	Vaya con dios
*183	03:26	320	Ricky King	Vaya Con Dios/Moonriver
*184	03:44	320	Ricky King	Venise
*185	03:54	320	Ricky King	Verde
*186	03:12	320	Ricky King	Viva Vienna
*187	02:40	320	Ricky King	Walzer der Liebe
*188	02:00	320	Ricky King	Wheels
*189	05:52	320	Ricky King	Wig Wam. (Maxi)
*190	02:45	320	Ricky King	Wipe Out
*191	02:12	320	Ricky King	Yambalaya
*192	02:12	320	Ricky King	Medley: Yesterday
*193	04:30	320	Ricky King	Yesterday/The Sound Of Silence
*194	03:46	320	Ricky King	YOU LOVE SONG
*195	03:32	320	Ricky King	Zaubergarten
*196	03:14	320	Ricky King	Zwei Gitarren
