TÃTULO ORIGINAL  	Digital Man
AÃ‘O 	
1995 	
DURACIÃ“N 	
95 min. 	  
PAÃS 	
[Estados Unidos] 	 
DIRECTOR 	Phillip J. Roth
GUIÃ“N 	Phillip J. Roth, Ron Schmidt
MÃšSICA 	Jim Goodwin
FOTOGRAFÃA 	Harris Done
REPARTO 	Adam Baldwin, Kristen Dalton, Ken Olandt, Matthias Hues, Paul Gleason, Ed Lauter, Don Swayze, Chase Masterson, Sherman Augustus, Woon Young Park, Megan Blake

PRODUCTORA 	Green Communications / Sci-Fi Productions

GÃ‰NERO 	Ciencia ficciÃ³n. AcciÃ³n | Robots

SINOPSIS 	El ejÃ©rcito desarrolla una serie de robots asesinos que, repentinamente, se descontrolan y comienzan a matar objetivos distintos a los asignados. Un grupo de soldados se enfrentarÃ¡n a los cyborgs.
