      Â© 1992 ZYX-Music GMBH. Germany. 20234-2. (P) 1995 First Town Records. 
      PC 38. Total Time: 71:30.

01. Disco Band    [0:05:05.00]
02. Take Me Up    [0:03:33.82]
03. Mirage    [0:03:55.84]
04. Money Runner    [0:06:20.16]
05. Man In The Man    [0:04:07.84]
06. Delirio Mind    [0:05:12.16]
07. Loving Is Easy    [0:04:47.00]
08. Drink A Scotch    [0:06:16.17]
09. Pictures    [0:05:24.00]
10. Plus Plus    [0:05:01.00]
11. Caribean Lady    [0:04:46.82]
12. Primitive Man    [0:04:20.17]
13. Take Me Up (Long Remix Version)    [0:06:13.49]
14. Penguins' Invasion    [0:06:26.44]
