Boum!	Charles Trenet

Girlfriend	Avril Lavigne

Wind It Up	Gwen Stefani

Rubbernecker	Danielson Famile

Woman	Wolfmother

MacArthur Park	Goober & The Peas

Chick Habit	April March

Switching to Glide	The Kings

Decline And Fall	Flesh For Lulu

Ace of Spade	Moțrhead

Soldier's Requiem	Naked Raygun

How Many Roads	The Who Boys

Magical Trevor (Happy Hardcore mix)	Weebl

Put Your Hands Up for Detroit	Fedde Le Grand

Twist 'Em Out	Dillinja

Bottle Of Wine	Fireball

Rang Tang Ding Dong (I Am The Japanese Sandman)	The Cellos

Ain't No Sunshine	Bill Withers

Sunshine (Go Away Today)	Jonathan Edwards

Sunshine, Lollipops and Rainbows	Lesley Gore

Sundown	Gordon Lightfoot

The Island of Dr. Moreau	Monk & Canatella Band

Four Sticks	Sones de Mexico Ensemble

Brazil	Ary Barroso
