 01 -B.A.R.                                    [04:42]
   02 -Gettin Up                                 [02:29]
   03 -Take Yo Bitch                             [04:36]
   04 -The Thrill                                [04:10]
   05 -One Way                                   [02:52]
   06 -Miles                                     [02:06]
   07 -If I Were A Lame                          [04:25]
   08 -Meet New People                           [01:48]
   09 -Weekend                                   [05:18]
   10 -Young Khalifa                             [02:37]
   11 -Knock U Down                              [01:42]
   12 -On Tha Pill                               [03:24]
   13 -When U Find                               [02:59]
   14 -Mafia Music (Remix)                       [04:11]
   15 -Say U Will                                [03:39]
   16 -Timeless                                  [05:05]
   17 -Won't Land                                [03:19]
   18 -Ode to Naked Pop Stars                    [04:38]
   19 -All My Life Freestyle                     [01:47]
   20 -Great to Be There (Outro)                 [02:45]



                                            Time:[68:32]min
                                            Size:[ 90,7]MB
