Rondo Veneziano - Concertissimo.2002

01 Concertissimo    3'14   
02 Venise en f̻te    3'34   
03 Festa Celtica    3'20    
04 Luna In Laguna    4'26    
05 Symphonic Run    3'20    
06 Ronda di stelle    3'07    
07 Notturno romantico    3'49    
08 Le Vele    3'50    
09 Rito Andino    3'24    
10 Abissi    3'12    
11 Ode Russa    2'56    
12 Piano su piano    4'11    
13 Note di Notte    3'16    
14 Gioco finale    1'49    
15 Sinfonia Corale    6'55      
16 Suite di Passione    4'49     
