Jeremy Soule - Neverwinter Nights


Track list:


01. End Boss Battle    [0:10:01.35]
02. Castle Music    [0:01:12.39]
03. Lady Aribeth Battle    [0:10:27.56]
04. City: The Docks (Night)    [0:01:36.18]
05. Neverwinter Woods Battle    [0:09:51.47]
06. City: Market    [0:01:10.73]
07. Tavern Music 3    [0:01:38.68]
08. Lizard Battle Theme     [0:10:00.08]
09. Temple Music (evil)    [0:01:33.35]
10. City Battle 1    [0:10:33.49]
11. City: The Slums (Day)    [0:01:35.22]
12. Dungeon Battle 3    [0:08:45.11]
13. Evil Dungeon 2    [0:01:07.28]
14. City Boss Battle    [0:09:23.48]
