User Type,Username,Date,Text
,talonzx,2010-07-01T08:17Z,"ty :D

any screenshots by any chance ?"
,deepanshu10,2010-07-01T09:04Z,screen shots plz...
,epicfrog,2010-07-01T09:06Z,"audio is decent, video is (for me) watchable. it does, however, include chinese hard coded subtitles. if you aren't annoyed with that, it's a good rip and a better value than than seeing it in the theater."
,paulderby,2010-07-01T09:15Z,"Awesome video, however, hard coded subs, which could be cropped.

Main problem, no subs for Chinese speaking parts"
,wildcherry508,2010-07-01T10:32Z,"Screens:

http://postimg.com/image/18000/17187.jpg"
,dvdxrated,2010-07-01T12:41Z,seed you little leachers
[V],.BONE.,2010-07-01T14:31Z,"non eng only subs :)
http://subscene.com/english/The-Karate-Kid-AKA-The-Kung-Fu-Kid/subtitle-342994.aspx"
,paulderby,2010-07-01T23:17Z,"APARTHEIDisrael

The most pathetic comment I have ever seen on here

You need help"
,pooloop,2010-07-02T10:14Z,"i think this is very good quality..........
video9.5
audio9.5

hard coded chinese subs,but what do you want for free.......thank youTV TEAM...good stuff......."
,Jayzen_Freeze,2010-07-02T15:20Z,Kid cant act worth shit..How did he get the part?
,ranvirN,2010-07-03T04:14Z,"good  work......

thnxxx"
,audije0704,2010-07-04T07:27Z,Why is it taking me 2 hrs to download a movie with 1443 seeders only 26 active?
,GoodQualityMovies,2010-07-09T09:51Z,he got the part cos he is will smith\'s son
