2007 - Kristin Hersh - Speedbath - 320Kbps VBR Lame MP3 3.98.2 + id3v2.4&1.1

Filename	Ver. 1	Ver. 2	Artist	Album	Title	Track	Position in media set	Year	Duration	File size (KB)	Bitrate (kBit/s)	CBR / VBR	Samplerate	Channel	Version	Last Changed
01. Slippershell	1.1	2.4	Kristin Hersh	Slippershell	Slippershell	01/12	01/01	2007	00:05:04	7121	191338	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
02. Torque	1.1	2.4	Kristin Hersh	Slippershell	Torque	02/12	01/01	2007	00:03:18	4628	191292	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
03. Around Dusk	1.1	2.4	Kristin Hersh	Slippershell	Around Dusk	03/12	01/01	2007	00:05:01	7050	191450	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
04. Morning Birds	1.1	2.4	Kristin Hersh	Slippershell	Morning Birds	04/12	01/01	2007	00:06:02	8476	191718	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
05. Speedbath	1.1	2.4	Kristin Hersh	Slippershell	Speedbath	05/12	01/01	2007	00:04:49	6782	191748	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
06. Krait	1.1	2.4	Kristin Hersh	Slippershell	Krait	06/12	01/01	2007	00:05:34	7779	190576	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
07. Static	1.1	2.4	Kristin Hersh	Slippershell	Static	07/12	01/01	2007	00:04:21	6060	189816	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
08. Moan	1.1	2.4	Kristin Hersh	Slippershell	Moan	08/12	01/01	2007	00:04:57	6973	191868	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
09. Elizabeth June	1.1	2.4	Kristin Hersh	Slippershell	Elizabeth June	09/12	01/01	2007	00:03:03	4295	191691	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
10. Mississippi Kite	1.1	2.4	Kristin Hersh	Slippershell	Mississippi Kite	10/12	01/01	2007	00:04:48	6716	190587	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
11. Fortune	1.1	2.4	Kristin Hersh	Slippershell	Fortune	11/12	01/01	2007	00:04:16	6006	191726	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
12. Rubidoux	1.1	2.4	Kristin Hersh	Slippershell	Rubidoux	12/12	01/01	2007	00:03:41	5176	191713	VBR	44100	Joint Stereo	MPEG-1.0 Layer III	22/07/2009 10:49
