Directory: ACDC - The Very Best

Files:
01. Hard As Rock.mp3	8.2 MB
02. Let There Be Rock.mp3	11.1 MB
03. Thunderstruck.mp3	8.9 MB
04. Dirty Deeds Done Dirt Cheak.mp3	7.7 MB
05. Big Gun.mp3	8 MB
06. The Jack.mp3	10.6 MB
07. Heatseeker.mp3	7 MB
08. Jailbreak.mp3	8.4 MB
09. You Shook Me All Night Long.mp3	6.4 MB
10. Rock'n'roll Damnation.mp3	6.6 MB
11. Shake Your Foundations.mp3	7.6 MB
12. TNT.mp3	6.5 MB
13. Who Made Who.mp3	6.3 MB
14. Highway To Hell.mp3	6.3 MB
15. Whole Lotta Rosie.mp3	7.6 MB
16. For Those About To Rock (We Salute You).mp3	10.5 MB
17. Big Balls.mp3	4.8 MB
18. Rocker.mp3	5.2 MB
