User Type,Username,Date,Text
,olybnr,2009-12-25T21:55Z,Actually Katie turned 21 this past week.
,franznoear,2009-12-26T23:31Z,"Courtesy IAFD:

Katie St. Ives

Performer AKA  	Zoey
Birthday	December 19, 1988
Astrology	Sagittarius 
Birthplace	Sherman Oaks, California 
Year Active	2009 (Started around 21 years old)
Ethnicity	Caucasian
Nationality/Heritage	American
Hair Color	Brown
Measurements	34B-25-34
Height	5 feet, 1 inches (155 cm)
Weight	116 lbs (53 kg)
Tattoos	Red rose on right shoulderblade; text between shoulderblades; butterfly on right hip
Non-Ear Piercings	Small rhinestone in middle of chest (removed)"
