Filename,Size,Unit
/Torrent downloaded from Demonoid.com.txt,47,B
/[]-1x01-[Flyinator;Ladybugged].flv,42.19,M
/[]-1x02-[Funball; The Science Whatchamacallit].flv,42,M
/[]-1x03-[Germy;The Candidate].flv,42.11,M
/[]-1x04-[Lunch Lady; Love Stinks].flv,42.06,M
/[]-1x05-[The Price Of Fame;King Flear].flv,42.16,M
/[]-1x06-[Rottingmuck Ranch; Bella Con Carny].flv,42.11,M
/[]-1x07-[Bugsitting;Le Termite].flv,42.14,M
/[]-1x08-[Pieface; The Hangout].flv,42.08,M
/[]-1x09-[Slumber Party; Spelling Bees].flv,42.01,M
/[]-1x10-[The Usual Insects; Sister Act].flv,42.12,M
/[]-1x11-[Scum Bites; Hooligans].flv,42.11,M
/[]-1x12-[The Big Score; Scare Wars].flv,42.09,M
/[]-1x14-[Those Pesky Roaches; Bugtillion].flv,42.09,M
"/[]-1x15-[Hot for Tutor; Sick Days, Inc.].flv",41.94,M
/[]-1x16-[Scout of Order;Ant Mines].flv,42.14,M
/[]-1x17-[Faking History; Bugs on the Brink].flv,42.15,M
/[]-1x18-[Training Day; Honeystriper].flv,42.16,M
/[]-1x19-[Racoooon!; Best Best Friends].flv,42.03,M
/[]-1x20-[Peskys Unclogged; Club Hopping].flv,42.08,M
/[]-1x21-[Synchronized Flying; Roach Hotel].flv,42.15,M
