The Warriors (Main Theme) 	 Barry De Vorzon

Pusher Man 	Curtis Mayfield

Be Thankful For What You Got 	William DeVaughn

Hollywood Swinging 	Kool And The Gang

Fantastic Voyage 	Lakeside

White Lines 	DJ-RX

Sunday, Bloody Sunday 	DJ-RX

Baddest Ruffest (Radio Edit) 	Backyard Dog

Incredible 	M. Beat

Galvanize 	The Chemical Brothers

Hell Yes 	Beck

Where's Your Head At? 	Basement Jaxx

What Lurks On Channel X 	Rob Zombie

White & Nerdy 	Weird Al Yankovic

Chase The Devil 	The Upsetters ,

Behind Blue Eyes 	The Who

In A Big Country 	Big Country

The Safety Dance 	Men Without Hats

Der Kommisar 	Falco

God Only Knows 	Petra Haden

Happiness Is A Warm Gun 	The Beatles

Who's Your Daddy? 	Benny Benassi 
