User Type,Username,Date,Text
[T],sanpork,2009-09-11T19:47Z,I am seeding now don't worry....  Enjoy
[T],ulysses56,2009-09-13T12:15Z,"Keygen:
Antivirus 	Versione 	Ultimo aggiornamento 	Risultato
a-squared 	4.5.0.24 	2009.09.11 	-
AhnLab-V3 	5.0.0.2 	2009.09.11 	-
AntiVir 	7.9.1.14 	2009.09.11 	-
Antiy-AVL 	2.0.3.7 	2009.09.11 	-
Authentium 	5.1.2.4 	2009.09.11 	-
Avast 	4.8.1351.0 	2009.09.10 	-
AVG 	8.5.0.412 	2009.09.11 	-
BitDefender 	7.2 	2009.09.11 	-
CAT-QuickHeal 	10.00 	2009.09.11 	-
ClamAV 	0.94.1 	2009.09.11 	-
Comodo 	2283 	2009.09.11 	Heur.Packed.Unknown
DrWeb 	5.0.0.12182 	2009.09.11 	-
eSafe 	7.0.17.0 	2009.09.10 	Suspicious File
eTrust-Vet 	31.6.6732 	2009.09.11 	-
F-Prot 	4.5.1.85 	2009.09.10 	-
F-Secure 	8.0.14470.0 	2009.09.11 	-
Fortinet 	3.120.0.0 	2009.09.11 	PossibleThreat
GData 	19 	2009.09.11 	-
Ikarus 	T3.1.1.72.0 	2009.09.11 	-
Jiangmin 	11.0.800 	2009.09.11 	-
K7AntiVirus 	7.10.842 	2009.09.11 	-
Kaspersky 	7.0.0.125 	2009.09.11 	-
McAfee 	5737 	2009.09.10 	-
McAfee+Artemis 	5737 	2009.09.10 	Artemis!CB8605EBD8F0
McAfee-GW-Edition 	6.8.5 	2009.09.11 	-
Microsoft 	1.5005 	2009.09.11 	-
NOD32 	4417 	2009.09.11 	-
Norman 	6.01.09 	2009.09.11 	-
nProtect 	2009.1.8.0 	2009.09.11 	-
Panda 	10.0.2.2 	2009.09.10 	-
PCTools 	4.4.2.0 	2009.09.11 	-
Prevx 	3.0 	2009.09.11 	High Risk System Back Door
Rising 	21.46.44.00 	2009.09.11 	-
Sophos 	4.45.0 	2009.09.11 	Mal/Behav-053
Sunbelt 	3.2.1858.2 	2009.09.11 	Trojan-Spy.Win32.Banker.ovo
Symantec 	1.4.4.12 	2009.09.11 	-
TheHacker 	6.3.4.4.400 	2009.09.10 	-
TrendMicro 	8.950.0.1094 	2009.09.11 	PAK_Generic.001
VBA32 	3.12.10.10 	2009.09.11 	-
ViRobot 	2009.9.11.1930 	2009.09.11 	-
VirusBuster 	4.6.5.0 	2009.09.11 	-"
