Tunnel Trance Force release history:

Number 	Year 	Mix CD1 	Mix CD2
01 	1997 	Cosmix 	Planet mix
02 	1997 	Venus mix 	Mars mix
03 	1997 	Space mix 	Orbit mix
04 	1998 	Saturn mix 	Jupiter mix
05 	1998 	Moonmix 	Sunmix
06 	1998 	Cyber mix 	Shuttle mix
07 	1998 	Gold mix 	Diamond mix
08 	1998 	Light mix 	Dark mix
09 	1999 	Lovemix 	Flowermix
10 	1999 	Watermix 	Summermix
11 	1998 	Milenium mix 	Dark mix
12 	1998 	Alpha mix 	Omega mix
13 	2000 	Cool Side mix 	Fresh side mix
14 	2000 	Moon mix 	Saturn mix
15 	2000 	Xmas mix 	Sylvester mix
16 	2001 	Odyssee 2001 mix 	Lost in time mix
17 	2001 	Sunshine mix 	Refreshing mix
18 	2001 	ISDN mix 	DSL mix
19 	2001 	Winter mix 	Snow mix
20 	2002 	Celebration mix 	Ceremony mix
21 	2002 	Cool waters mix 	Hot nights mix
22 	2002 	Hands up mix 	Jump around mix
23 	2002 	Frozen mix 	Ice mix
24 	2003 	Deep blue mix 	Silver acid mix
25 	2003 	Purple power mix 	Yellow party mix
