VG lista Topp 20 Single uke 25, 2010
------------------------------------
p        f      a
1.  	(1)  	4  	Madcon - Glow 		
2. 	(2) 	4 	Lena Meyer-Landrut - Satellite 		
3. 	(3) 	11 	Edward Maya feat Vika Jigulina - Stereo Love 		
4. 	(5) 	3 	Yolanda Be Cool & DCup - We No Speak Americano 		
5. 	(14) 	2 	K'naan - Wavin' flag 		
6. 	(9) 	2 	Lady Gaga - Alejandro 		
7. 	(4) 	4 	Sirius - Fuck Up 		
8. 	(12) 	3 	Shakira feat Freshlyground - Waka Waka (Time For Africa)	
9. 	(7) 	6 	Katy Perry feat. Snoop Dogg - California Gurls 		
10. 	(NY) 	1 	Voe - Don't Talk To Me 		
11. 	(6) 	4 	B.o.B. feat Hayley Williams - Airplanes 		
12. 	(10) 	7 	Eminem - Not Afraid 		
13. 	(11) 	11 	Keri Hilson - I Like 		
14. 	(19) 	4 	Inna - Hot 		
15. 	(18) 	9 	Train - Hey, Soul Sister 		
16. 	(8) 	3 	Robyn - Dancing On My Own 		
17. 	(16) 	18 	Karpe Diem feat Andreas Grega - Ruter 		
18. 	(17) 	2 	Eva & The Heartmaker - Mr. Tokyo 		
19. 	(15) 	17 	Cheryl Cole - Fight For This Love 		
20. 	(13) 	3 	Sunstroke Project & Olia Tira - Run Away
