01 -Jc-Into                                   [01:39]
   02 -Ginuwine-In Those Jeans                   [02:18]
   03 -R. Kelly-Feeling on Your Booty            [01:12]
   04 -Aaliyah-One in A Million                  [01:07]
   05 -Aaliyah-I Can Do that                     [01:38]
   06 -Swv-Weak                                  [02:41]
   07 -Ginuwine-Differences                      [01:30]
   08 -Missy Featuring Genuwine, Tweet-Take Away [02:29]
   09 -Ushe-U Got it Bad                         [01:01]
   10 -Usher-Nice and Slow                       [01:02]
   11 -R. Kelly-Seems Like Your Ready            [02:01]
   12 -H-Town-Knockin the Boots                  [01:36]
   13 -Tlc-Red Light Special                     [01:14]
   14 -Silk-Freaky                               [01:29]
   15 -112-Cupid                                 [03:03]
   16 -Faith Evenst-I Love You                   [01:18]
   17 -Mya-It's All About You                    [01:26]
   18 -R. Kelly-Strip for You                    [00:57]
   19 -Ginuwine-Pony                             [00:56]
   20 -112-Anywhere                              [02:31]
   21 -Jodeci-Love You for Life                  [01:18]
   22 -R. Kelly-You Remind Me of My Something    [01:35]
   23 -Tevin Cambell-Always in My Heart          [01:50]
   24 -Marvin Gaye-Lets Get it on                [00:26]
   25 -The Isley Brothers-Between the Sheets     [00:25]
   26 -The Notorious B.I.G.-Big Poppa            [01:09]
   27 -Odeci Featuring Reakon-Freakin N You      [02:47]
   28 -Total-Cant You See                        [01:33]
   29 -Jay-Z-Girls Girls Girls                   [00:13]
   30 -Nas-K-I-S-S-I-N-G                         [00:45]
   31 -R. Kelly-One Me                           [01:01]
   32 -Jodeci-Feelin                             [01:04]
   33 -Ginuwine-Break it Down                    [01:24]
   34 -Az-Its Hard for Me to Say Im Sorry        [01:17]
   35 -Keith Sweat-Nobody                        [02:16]
   36 -Shai-If I Everfall in Love                [01:03]
   37 -Tyrese-Sweet Lady                         [01:52]
   38 -Brian Mcknight-Back at One                [03:12]
   39 -Joe-I Wanna Know                          [01:55]
   40 -DJ Beyondrest-Listen to Your Man          [02:11]
   41 -Jodeci-Come and Talk to Me                [03:07]
   42 -Soul for Real-Candy Rain                  [01:03]
   43 -Usher-I Think of You                      [01:02]
   44 -Ll Cool J-Hey Lover                       [02:08]
   45 -Donell Jones-This Love                    [01:04]
   46 -Carl Thomas-Summer Rain                   [02:07]
   47 -112-Sweetlove                             [00:35]
   48 -Jodeci-Wait Until Tonight                 [05:46]



                                            Time:[79:16]min
                                            Size:[ 91,2]MB
