Artist:     Rick Ross
Title:      Timeless Audemars Piguet Collection
Year:       2010
Genre:      Rap
Bitrate:    VBRkbps
Tracks:     28
Size:       83,2 MB
Playtime:   72:47 Min

Tracklist:
                                                                                   
01.   00:53	Intro
02.   03:25	Veterans Day feat. Lil Wayne & Birdman
03.   02:58	Incredible feat. Trae Lil Wayne (Prod by Mr Inkredible)
04.   03:17	Poppin Bottles feat. OJ Da Juiceman
05.   04:18	I Am The Streets feat. Trae Lloyd The Game
06.   03:53	Ballin (Remix) feat. U.S.D.A. (Prod by Big Hurt)
07.   01:09	Video Phone feat. Beyonce
08.   03:35	All I Do Is Win feat. DJ Khaled, T Pain, Ludacris
09.   01:23	Pray For Me feat. Birdman
10.   00:46	Success Interlude
11.   00:52	Big Money
12.   01:15	Do This Shit Again
13.   04:37	I Wana Rock Dirty South Remix feat. Snoop Dogg, Yo Gotti, OJ Da Juiceman And Roscoe Dash (Prod By Dj Green Lantern)
14.   04:11	Oh Lets Do It (Remix) feat. Wacka Flocka Flame, P Diddy & Gucci Mane (Prod By Tay Beats)
15.   03:24	Interlude
16.   01:00	Rich Boy Exclusive
17.   02:32	Sunday Morning feat. Birdman (Prod by J Rock)
18.   02:11	Hard Life
19.   00:40	Deja Vu
20.   02:17	Don't Change
21.   04:32	Mafia Music 2 feat. Chrisette Michelle (Prod by The Olympicks)
22.   02:47	Cocaine Music feat. Yo Gotti
23.   04:08	Fed Up feat. DJ Khaled, Young Jeezy, Drake & Lil Wayne (Prod by The Runners)
24.   01:11	The More I Get
25.   01:49	Signing Out
26.   04:00	Angels (Remix) feat. P Diddy & Dirty Money
27.   03:23	Don't Make Em Like This feat. Ruben Studdard
28.   02:21	Addicted to Money feat. Birdman (Produced By J.U.S.T.I.C.E. League)
