User Type,Username,Date,Text
,franznoear,2010-03-27T23:36Z,Screens please
,franznoear,2010-03-27T23:48Z,"23 yr old ""school girl"". Maybe she was in college?

Courtesy IAFD

Kagney Linn Karter

Performer AKA:  	Kagney Linn Karlen, Kagney Lynn Karter, Kagny Linn Karter, Kagney Lin Karter

Birthday	March 28, 1987
Astrology	Aries 
Birthplace	Texas 
Years Active	2008-2010
Ethnicity	Caucasian
Nationality/Heritage	American
Hair Color	Blond
Measurements	34-25-36
Height	5 feet, 4 inches (163 cm)
Weight	118 lbs (54 kg)"
